# 2025-04-04
# removed that line:
# HG02300	male	vrk-hic	Q1	Q1b1a1a_father	M3	ref	2025
# sample mislabeled as male in 1KG pedigree file;
# added sample again as female to this table
sample	sample_sex	assembly_type	hg_short	haplogroup_ISOGG_v15.73	haplogroup_yHaplo_term_marker	Y_known_SVs_Teitz-2018	study_generation
HG00097	female	vrk-hic	XX	XX	NA	NA	2025
HG00099	female	vrk-hic	XX	XX	NA	NA	2025
HG00128	female	vrk-hic	XX	XX	NA	NA	2025
HG00133	female	vrk-hic	XX	XX	NA	NA	2025
HG00146	female	vrk-hic	XX	XX	NA	NA	2025
HG00232	female	vrk-hic	XX	XX	NA	NA	2025
HG00235	female	vrk-hic	XX	XX	NA	NA	2025
HG00253	female	vrk-hic	XX	XX	NA	NA	2025
HG00272	female	vrk-hic	XX	XX	NA	NA	2025
HG00320	female	vrk-hic	XX	XX	NA	NA	2025
HG00323	female	vrk-hic	XX	XX	NA	NA	2025
HG00344	female	vrk-hic	XX	XX	NA	NA	2025
HG00350	female	vrk-hic	XX	XX	NA	NA	2025
HG00408	female	vrk-thc	XX	XX	NA	NA	2025
HG00423	female	vrk-hic	XX	XX	NA	NA	2025
HG00438	female	vrk-hic	XX	XX	NA	NA	2025
HG00544	female	vrk-hic	XX	XX	NA	NA	2025
HG00558	female	vrk-thc	XX	XX	NA	NA	2025
HG00597	female	vrk-hic	XX	XX	NA	NA	2025
HG00639	female	vrk-thc	XX	XX	NA	NA	2025
HG00733	female	vrk-hic	XX	XX	NA	NA	2025
HG00735	female	vrk-thc	XX	XX	NA	NA	2025
HG00741	female	vrk-thc	XX	XX	NA	NA	2025
HG00867	female	vrk-hic	XX	XX	NA	NA	2025
HG01071	female	vrk-thc	XX	XX	NA	NA	2025
HG01081	female	vrk-hic	XX	XX	NA	NA	2025
HG01123	female	vrk-thc	XX	XX	NA	NA	2025
HG01150	female	vrk-thc	XX	XX	NA	NA	2025
HG01175	female	vrk-thc	XX	XX	NA	NA	2025
HG01346	female	vrk-hic	XX	XX	NA	NA	2025
HG01361	female	vrk-hic	XX	XX	NA	NA	2025
HG01496	female	vrk-hic	XX	XX	NA	NA	2025
HG01784	female	vrk-hic	XX	XX	NA	NA	2025
HG01786	female	vrk-hic	XX	XX	NA	NA	2025
HG01884	female	vrk-hic	XX	XX	NA	NA	2025
HG01891	female	vrk-hic	XX	XX	NA	NA	2025
HG01940	female	vrk-thc	XX	XX	NA	NA	2025
HG01960	female	vrk-thc	XX	XX	NA	NA	2025
HG01969	female	vrk-thc	XX	XX	NA	NA	2025
HG01975	female	vrk-thc	XX	XX	NA	NA	2025
HG01978	female	vrk-thc	XX	XX	NA	NA	2025
HG01981	female	vrk-thc	XX	XX	NA	NA	2025
HG01993	female	vrk-hic	XX	XX	NA	NA	2025
HG02004	female	vrk-hic	XX	XX	NA	NA	2025
HG02080	female	vrk-hic	XX	XX	NA	NA	2025
HG02109	female	vrk-thc	XX	XX	NA	NA	2025
HG02148	female	vrk-thc	XX	XX	NA	NA	2025
HG02155	female	vrk-hic	XX	XX	NA	NA	2025
HG02165	female	vrk-hic	XX	XX	NA	NA	2025
HG02178	female	vrk-hic	XX	XX	NA	NA	2025
HG02257	female	vrk-hic	XX	XX	NA	NA	2025
HG02273	female	vrk-hic	XX	XX	NA	NA	2025
HG02280	female	vrk-hic	XX	XX	NA	NA	2025
HG02293	female	vrk-hic	XX	XX	NA	NA	2025
HG02300	female	vrk-hic	XX	XX	NA	NA	2025
HG02451	female	vrk-hic	XX	XX	NA	NA	2025
HG02523	female	vrk-thc	XX	XX	NA	NA	2025
HG02559	female	vrk-thc	XX	XX	NA	NA	2025
HG02583	female	vrk-hic	XX	XX	NA	NA	2025
HG02615	female	vrk-thc	XX	XX	NA	NA	2025
HG02622	female	vrk-hic	XX	XX	NA	NA	2025
HG02630	female	vrk-thc	XX	XX	NA	NA	2025
HG02683	female	vrk-thc	XX	XX	NA	NA	2025
HG02723	female	vrk-hic	XX	XX	NA	NA	2025
HG02809	female	vrk-hic	XX	XX	NA	NA	2025
HG02841	female	vrk-thc	XX	XX	NA	NA	2025
HG02886	female	vrk-thc	XX	XX	NA	NA	2025
HG02922	female	vrk-hic	XX	XX	NA	NA	2025
HG02976	female	vrk-hic	XX	XX	NA	NA	2025
HG03041	female	vrk-thc	XX	XX	NA	NA	2025
HG03195	female	vrk-hic	XX	XX	NA	NA	2025
HG03239	female	vrk-hic	XX	XX	NA	NA	2025
HG03270	female	vrk-hic	XX	XX	NA	NA	2025
HG03369	female	vrk-hic	XX	XX	NA	NA	2025
HG03453	female	vrk-hic	XX	XX	NA	NA	2025
HG03458	female	vrk-hic	XX	XX	NA	NA	2025
HG03470	female	vrk-hic	XX	XX	NA	NA	2025
HG03516	female	vrk-hic	XX	XX	NA	NA	2025
HG03540	female	vrk-hic	XX	XX	NA	NA	2025
HG03583	female	vrk-hic	XX	XX	NA	NA	2025
HG03669	female	vrk-hic	XX	XX	NA	NA	2025
HG03704	female	vrk-hic	XX	XX	NA	NA	2025
HG03784	female	vrk-hic	XX	XX	NA	NA	2025
HG03804	female	vrk-thc	XX	XX	NA	NA	2025
HG03816	female	vrk-thc	XX	XX	NA	NA	2025
HG03831	female	vrk-hic	XX	XX	NA	NA	2025
HG03834	female	vrk-thc	XX	XX	NA	NA	2025
HG03874	female	vrk-hic	XX	XX	NA	NA	2025
HG03927	female	vrk-hic	XX	XX	NA	NA	2025
HG04153	female	vrk-hic	XX	XX	NA	NA	2025
HG04184	female	vrk-hic	XX	XX	NA	NA	2025
NA18505	female	vrk-hic	XX	XX	NA	NA	2025
NA18508	female	vrk-hic	XX	XX	NA	NA	2025
NA18565	female	vrk-hic	XX	XX	NA	NA	2025
NA18570	female	vrk-hic	XX	XX	NA	NA	2025
NA18976	female	vrk-hic	XX	XX	NA	NA	2025
NA19036	female	vrk-hic	XX	XX	NA	NA	2025
NA19087	female	vrk-hic	XX	XX	NA	NA	2025
NA19131	female	vrk-hic	XX	XX	NA	NA	2025
NA19159	female	vrk-hic	XX	XX	NA	NA	2025
NA19185	female	vrk-hic	XX	XX	NA	NA	2025
NA19338	female	vrk-hic	XX	XX	NA	NA	2025
NA19391	female	vrk-hic	XX	XX	NA	NA	2025
NA19468	female	vrk-hic	XX	XX	NA	NA	2025
NA19776	female	vrk-hic	XX	XX	NA	NA	2025
NA19835	female	vrk-hic	XX	XX	NA	NA	2025
NA19909	female	vrk-hic	XX	XX	NA	NA	2025
NA20282	female	vrk-hic	XX	XX	NA	NA	2025
NA20799	female	vrk-hic	XX	XX	NA	NA	2025
NA21102	female	vrk-hic	XX	XX	NA	NA	2025
NA21106	female	vrk-hic	XX	XX	NA	NA	2025
NA21110	female	vrk-hic	XX	XX	NA	NA	2025
NA21144	female	vrk-hic	XX	XX	NA	NA	2025
HG00126	male	vrk-hic	R1	R1b1a1b1a1a2a1b1a1	M167	ref	2025
HG00140	male	vrk-hic	I1	I1	M253	ref	2025
HG00280	male	vrk-hic	N1	N1a1a1a1a1a	CTS2929	b2/b3_plus_dupl	2025
HG00290	male	vrk-hic	N1	N1a1a1a1a2a1a1a1a1a	Z1940	b2/b3_del	2025
HG00321	male	vrk-hic	I1	I1a1b1a4a1a1	L258	ref	2025
HG00329	male	vrk-hic	N1	N1a1a1a1a2a1a1a	CTS1737	b2/b3_del	2025
HG00609	male	vrk-hic	O2	O2a1b1a1a1a	F11	NA	2025
HG00621	male	vrk-thc	O2	O2a2b1a1a1	F8	NA	2023
HG00642	male	vrk-hic	R1	R1b	L278	NA	2025
HG00658	male	vrk-thc	O2	O2a2a1a1a	M159	NA	2025
HG00673	male	vrk-hic	O2	O2a2a1a1a	M159	NA	2023
HG00706	male	vrk-hic	O2	O2a2a1a1a	M159	NA	2025
HG00738	male	vrk-thc	R1	R1b1a1b1a1a2b1c2b1a2	S8172	NA	2025
HG01074	male	vrk-hic	E1	E1b1b1a1b1a	V13	NA	2025
HG01099	male	vrk-hic	G2	G2a2b2a1a1b1a1b	FGC477	NA	2025
HG01106	male	vrk-thc	E1	E1b1b1b1a1	M183	NA	2023
HG01109	male	vrk-thc	E1	E1b1b1a1b1a	V13	NA	2023
HG01167	male	vrk-hic	I2	I2a1a1a	M26	ref	2025
HG01192	male	vrk-hic	T1	T1a1a1b2b2b1a1a2	CTS6280	NA	2025
HG01243	male	vrk-hic	R1	R1b1a1b1a1a2a5	DF27	NA	2023
HG01252	male	vrk-thc	E1	E1b1b1b2a1a1	L29	NA	2025
HG01255	male	vrk-hic	J1	J1	M267	NA	2025
HG01258	male	vrk-thc	J1	J1	M267	NA	2023
HG01261	male	vrk-hic	R1	R1b1a1b1a1a2a1a1a1a	Z214	NA	2025
HG01358	male	vrk-thc	R1	R1b1a1b1a1a2b1a1	L20	NA	2023
HG01433	male	vrk-thc	J1	J1a2a1a2	P58	NA	2025
HG01530	male	vrk-hic	T1	T1a2b1a1	CTS8862	P4-arm-dupl	2025
HG01928	male	vrk-thc	Q1	Q1b1a1a	M3	NA	2023
HG01934	male	vrk-hic	R1	R1b1a1b1a1a2a1a1a1a1	M153	NA	2025
HG01943	male	vrk-hic	R1	R1b1a1b1a1a2b	U152	NA	2025
HG01952	male	vrk-hic	Q1	Q1b1a1a_father	M3	NA	2023
HG02015	male	vrk-thc	O1	O1a1a1b1b	Z23392	NA	2025
HG02027	male	vrk-thc	O2	O2a1a1a	Page124	NA	2025
HG02040	male	vrk-hic	F	F	M89	ref	2025
HG02055	male	vrk-thc	E1	E1b1a1a1a2a1a3b1a	U290	NA	2025
HG02056	male	vrk-thc	O2	O2a2b1a2a1a	F46	NA	2025
HG02071	male	vrk-thc	O2	O2a2a1a2a1a1	F1275	NA	2025
HG02074	male	vrk-thc	O1	O1b1a2c	CTS9996	NA	2025
HG02083	male	vrk-thc	O1	O1b1a1a1a1a1b2	Z24014	NA	2025
HG02129	male	vrk-hic	O2	O2a2a1a2a1b	F1863	NA	2025
HG02132	male	vrk-hic	Q1	Q1a1a	M120	NA	2025
HG02135	male	vrk-thc	O2	O2a2a1a2a1b	F1863	NA	2025
HG02145	male	vrk-hic	E1	E1b1a1a1a2a1	M4254	NA	2025
HG02258	male	vrk-hic	E1	E1b1a1a1a2a1	M4254	NA	2025
HG02391	male	vrk-hic	O2	O2a2b1a1a1	F8	ref	2025
HG02392	male	vrk-hic	O2	O2a1b2	SK1673	ref	2025
HG02486	male	vrk-thc	E1	E1b1a1a1a1c1a1a_father	P252	ref	2023
HG02514	male	vrk-hic	O1	O1b1a1a1a1a1a1a1a1a1	F1399	NA	2025
HG02572	male	vrk-hic	E1	E1a2b1a2	M9119	NA	2023
HG02602	male	vrk-thc	R1	R1a1a1b2a1a2c	Y7	NA	2025
HG02647	male	vrk-thc	A1	A1a	M31	NA	2025
HG02668	male	vrk-thc	A1	A1a	M31	NA	2025
HG02698	male	vrk-hic	Q1	Q1a2a	L712	NA	2025
HG02717	male	vrk-thc	E1	E1b1a1a1a1c2c3a2a	Z6018	NA	2023
HG02735	male	vrk-hic	J2	J2a1a	L26	NA	2025
HG02738	male	vrk-thc	R1	R1a1a1b2a1a2c	Y7	NA	2025
HG02965	male	vrk-hic	E1	E1b1a1a1a1c1a1a	P252	NA	2025
HG02984	male	vrk-hic	A0	A0a1	V153	NA	2025
HG03017	male	vrk-hic	R2	R2	L266	NA	2025
HG03050	male	vrk-thc	E1	E1a2a1a2	Z15407	NA	2025
