SampleName,Read_Refined,KMER_Refined
HG00126,26251769.1422468,22361610.3305886
HG00140,35028660.8518403,30222205.277783
HG00280,33139476.5046978,28406612.3840142
HG00290,35142500.6488936,30358927.121858
HG00321,49679513.7602091,43006849.6578666
HG00329,33965802.3838556,29110561.0410919
HG00609,45442679.2029078,38968798.9923615
HG00621,25194637.3031901,21667773.7802275
HG00642,12875659.5379152,10933689.1357244
HG00658,37939252.8897264,32421580.6773043
HG00673,36695389.9839983,31183279.2266315
HG00706,34017897.050381,28808186.6421628
HG00738,26377393.3298676,22385183.650064
HG01074,25195888.1234225,21260489.6382534
HG01099,22724112.0615282,19209910.6373134
HG01106,39338999.4323195,33621531.4417812
HG01109,26523143.2525393,22438273.7406658
HG01167,36777033.0189642,31573148.4419645
HG01192,20701205.5336734,17075382.79566
HG01243,16738146.2718039,14249415.2109636
HG01252,28427083.5270765,24214946.6424526
HG01255,23498377.0240161,20006526.2547368
HG01258,23838883.0061713,20360907.5254355
HG01261,28223096.2482057,23980148.3827834
HG01358,26838897.4116506,22951789.3487549
HG01433,49385873.1741882,41972448.2641016
HG01530,22843498.5721005,19494587.6114322
HG01890,20407078.1486942,17577166.2000391
HG01928,26327372.2811066,22478307.7528598
HG01934,27306459.2388787,23227935.4532974
HG01943,26146510.7845141,22321021.6011612
HG01952,25495293.9920612,21609464.9329741
HG02015,25841815.2720369,21728217.1309623
HG02027,41365200.2024309,35586062.6668835
HG02040,44454142.5978431,37663300.9620187
HG02055,27006054.6083387,23312774.6086752
HG02056,37578479.2700886,32354004.3459483
HG02071,26830739.1330496,22401776.7246623
HG02074,29609176.4834448,25349603.5764644
HG02083,49282463.0722006,42122373.47272
HG02129,39547441.0023724,33377201.990722
HG02132,36706499.8640598,31664181.5293469
HG02135,35982483.85457,30300557.7429101
HG02145,25206563.3467498,21742241.4704243
HG02258,27427500.1485681,23699431.7131625
HG02391,24897931.1073018,21332699.4657694
HG02392,23403813.4121886,20208573.3335369
HG02514,51173348.922942,43716541.7944798
HG02572,26991332.2782656,23607803.2088378
HG02602,31530070.8540259,27008449.0846717
HG02647,27954798.6701569,24425664.0914909
HG02668,28808708.6432929,25025918.0542335
HG02698,17406536.5311134,14821793.4444228
HG02717,28164132.3347792,24268771.0289515
HG02735,31887241.386299,27130891.8563165
HG02738,32582900.0692285,27725063.2921099
HG02965,29588013.1527758,25559811.9496566
HG02984,26566746.7176846,22846948.9607419
HG03017,32005722.0297103,27575542.5669606
HG03050,28855354.6670215,24868200.2764422
HG03098,27683684.9360968,23772414.0385496
HG03130,30508703.1636038,26359450.7921304
HG03139,31025435.0758632,27024139.2484325
HG03209,30616121.1281757,26839684.7871595
HG03225,34611621.2107003,29639529.6310647
HG03492,27586667.5556633,23559009.4619726
HG03521,29742316.5165836,25659333.3421236
HG03579,32760762.2464469,28041358.5649041
HG03654,24795515.1975784,21220383.1506206
HG03688,33826119.6759706,29010715.4712109
HG03710,17770665.7526972,15480735.1337416
HG03742,40032405.5456911,34138640.5300531
HG03942,27081492.8281117,23262686.3894587
HG04115,29172388.6366574,25193977.1038458
HG04157,26610791.8761435,22934142.8812339
HG04160,30947305.346054,26638548.9750479
HG04187,19931663.7464818,16933952.9691846
HG04199,27588409.6634077,23663526.3197917
HG04204,30990849.7288231,26616580.6219189
HG04228,26063085.8585817,22573130.589592
NA18522,30536118.3013642,26576780.6405933
NA18608,29470922.5632733,25455380.6277509
NA18612,48041954.1869848,41645389.3831282
NA18620,38442508.974404,33048399.8441384
NA18747,34429983.2856493,29634926.4490614
NA18879,23692495.8862701,20525868.5953229
NA18952,31328868.4944278,27111435.1558348
NA18974,37443687.1740804,32112432.110729
NA18983,35977212.4089312,30849523.0378159
NA19043,36540081.6635667,30714163.8493783
NA19443,33074945.9286744,28834757.7977847
NA19682,24916836.8430347,21284836.9637318
NA19700,31451623.5649383,27197045.4183586
NA20346,33572909.3286639,29011710.6069364
NA20752,27164571.3002303,23443206.066898
NA20805,24697002.9380715,21064872.7294786
NA20809,23241923.141523,19931043.2047103
NA20850,27926168.2734488,24033751.0438554
NA20870,23463965.4817946,20207697.1791499
NA20905,24035297.8102983,20404117.1210901
NA21093,34512124.0398252,29137183.369399
