# 20250320
# some preliminary ampliconic gene anntotation by Mark Loftus
# outdated
sample	hap	tig
HG00280	hap1	haplotype1-0000029
HG00280	hap1	haplotype1-0000029
HG00280	hap1	haplotype1-0000030
HG00658	hap1	pat-0000677
HG00658	hap1	pat-0000678
HG00658	hap1	pat-0000679
HG00658	hap1	pat-0000680
HG00658	hap1	pat-0000681
HG00738	hap1	pat-0000713
HG00738	hap1	pat-0000713
HG01106	hap1	pat-0000799
HG01243	hap1	haplotype1-0000051
HG01243	hap1	haplotype1-0000073
HG01243	hap1	haplotype1-0000074
HG01243	hap1	haplotype1-0000075
HG01243	hap1	haplotype1-0000175
HG01243	hap1	haplotype1-0000175
HG01255	hap1	haplotype2-0000119
HG01255	hap1	haplotype2-0000119
HG01255	hap1	haplotype2-0000119
HG01255	hap1	haplotype2-0000119
HG01255	hap1	haplotype2-0000120
HG01255	hap1	haplotype2-0000120
HG01255	hap1	haplotype2-0000120
HG01255	hap1	haplotype2-0000121
HG01255	hap1	haplotype2-0000121
HG01255	hap1	haplotype2-0000121
HG01255	hap1	haplotype2-0000140
HG01255	hap1	haplotype2-0000140
HG01255	hap1	haplotype2-0000140
HG01255	hap1	haplotype2-0000140
HG01255	hap1	haplotype2-0000140
HG01255	hap1	haplotype2-0000140
HG01255	hap1	haplotype2-0000140
HG01261	hap1	haplotype2-0000116
HG01261	hap1	haplotype2-0000116
HG01433	hap1	pat-0000684
HG01433	hap1	pat-0000742
HG01433	hap1	pat-0000743
HG01433	hap1	pat-0000789
HG01530	hap1	haplotype1-0000028
HG01530	hap1	haplotype1-0000028
HG02015	hap1	pat-0000831
HG02015	hap1	pat-0000832
HG02015	hap1	pat-0000884
HG02015	hap1	pat-0000885
HG02015	hap1	pat-0000957
HG02015	hap1	pat-0000957
HG02015	hap1	pat-0000957
HG02015	hap1	pat-0000958
HG02015	hap1	pat-0000958
HG02015	hap1	pat-0000959
HG02015	hap1	pat-0000968
HG02015	hap1	pat-0000969
HG02015	hap1	pat-0000984
HG02015	hap1	pat-0000985
HG02015	hap1	pat-0000995
HG02015	hap1	pat-0000996
HG02015	hap1	pat-0001029
HG02015	hap1	pat-0001031
HG02015	hap1	pat-0001037
HG02015	hap1	pat-0001081
HG02015	hap1	pat-0001110
HG02055	hap1	pat-0000694
HG02055	hap1	pat-0000704
HG02055	hap1	pat-0000876
HG02132	hap1	haplotype2-0000186
HG02132	hap1	haplotype2-0000237
HG02132	hap1	haplotype2-0000238
HG02132	hap1	haplotype2-0000258
HG02132	hap1	haplotype2-0000258
HG02132	hap1	haplotype2-0000259
HG02132	hap1	haplotype2-0000260
HG02132	hap1	haplotype2-0000261
HG02132	hap1	haplotype2-0000262
HG02132	hap1	haplotype2-0000263
HG02132	hap1	haplotype2-0000264
HG02132	hap1	haplotype2-0000350
HG02135	hap1	pat-0000980
HG02135	hap1	pat-0000980
HG02145	hap1	haplotype2-0000237
HG02145	hap1	haplotype2-0000307
HG02145	hap1	haplotype2-0000310
HG02145	hap1	haplotype2-0000310
HG02258	hap1	haplotype1-0000060
HG02258	hap1	haplotype1-0000060
HG02258	hap1	haplotype1-0000061
HG02258	hap1	haplotype1-0000061
HG02391	hap1	haplotype2-0000091
HG02391	hap1	haplotype2-0000091
HG02391	hap1	haplotype2-0000092
HG02391	hap1	haplotype2-0000093
HG02391	hap1	haplotype2-0000093
HG02602	hap1	pat-0000668
HG02602	hap1	pat-0000674
HG02602	hap1	pat-0000676
HG02602	hap1	pat-0000677
HG02647	hap1	pat-0000804
HG02984	hap1	haplotype2-0000186
HG02984	hap1	haplotype2-0000187
HG03050	hap1	pat-0000537
HG03050	hap1	pat-0000537
HG03050	hap1	pat-0000537
HG03050	hap1	pat-0000537
HG03098	hap1	haplotype1-0000029
HG03098	hap1	haplotype1-0000030
HG03098	hap1	haplotype1-0000031
HG03098	hap1	haplotype1-0000032
HG03098	hap1	haplotype1-0000033
HG03098	hap1	haplotype1-0000033
HG03098	hap1	haplotype1-0000034
HG03098	hap1	haplotype1-0000034
HG03098	hap1	haplotype1-0000035
HG03098	hap1	haplotype1-0000035
HG03098	hap1	haplotype1-0000038
HG03098	hap1	haplotype1-0000039
HG03098	hap1	haplotype1-0000044
HG03098	hap1	haplotype1-0000056
HG03098	hap1	haplotype1-0000057
HG03098	hap1	haplotype1-0000058
HG03098	hap1	haplotype1-0000064
HG03098	hap1	haplotype1-0000083
HG03098	hap1	haplotype1-0000083
HG03742	hap1	haplotype2-0000143
HG04157	hap1	haplotype2-0000143
HG04157	hap1	haplotype2-0000168
HG04157	hap1	haplotype2-0000169
HG04157	hap1	haplotype2-0000169
HG04187	hap1	pat-0001047
HG04187	hap1	pat-0001048
HG04187	hap1	pat-0001051
HG04187	hap1	pat-0001051
HG04187	hap1	pat-0001052
HG04187	hap1	pat-0001053
HG04187	hap1	pat-0001054
NA19043	hap1	haplotype1-0000037
NA21093	hap1	haplotype2-0000201
NA21093	hap1	haplotype2-0000203
