# 20250208T1632
# N=437
sample	sample_sex	input_path
HG03710-G2.hap2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03710-G2/HG03710-G2.hap2.chrX.fasta
HG03710-G2.hap1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03710-G2/HG03710-G2.hap1.chrY.fasta
HG02083-O1.hap2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02083-O1/HG02083-O1.hap2.chrX.fasta
HG02083-O1.hap1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02083-O1/HG02083-O1.hap1.chrY.fasta
HG02027-O2.hap1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02027-O2/HG02027-O2.hap1.chrY.fasta
HG02027-O2.hap2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02027-O2/HG02027-O2.hap2.chrX.fasta
HG01786-XX.hap2.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01786-XX/HG01786-XX.hap2.chrX.fasta
HG01786-XX.hap1.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01786-XX/HG01786-XX.hap1.chrX.fasta
HG03195-XX.hap1.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03195-XX/HG03195-XX.hap1.chrX.fasta
HG03195-XX.hap2.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03195-XX/HG03195-XX.hap2.chrX.fasta
HG02074-O1.hap1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02074-O1/HG02074-O1.hap1.chrY.fasta
HG02074-O1.hap2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02074-O1/HG02074-O1.hap2.chrX.fasta
HG01952-Q1.hap1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01952-Q1/HG01952-Q1.hap1.chrY.fasta
HG01952-Q1.hap2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01952-Q1/HG01952-Q1.hap2.chrX.fasta
HG02391-O2.hap1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02391-O2/HG02391-O2.hap1.chrY.fasta
HG02391-O2.hap2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02391-O2/HG02391-O2.hap2.chrX.fasta
HG00609-O2.hap1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00609-O2/HG00609-O2.hap1.chrY.fasta
HG00609-O2.hap2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00609-O2/HG00609-O2.hap2.chrX.fasta
NA19700-E1.hap2.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19700-E1/NA19700-E1.hap2.chrY.fasta
NA19700-E1.hap2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19700-E1/NA19700-E1.hap2.chrX.fasta
NA19700-E1.hap1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19700-E1/NA19700-E1.hap1.chrY.fasta
NA18505-XX.hap2.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18505-XX/NA18505-XX.hap2.chrX.fasta
NA18505-XX.hap1.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18505-XX/NA18505-XX.hap1.chrX.fasta
HG00735-XX.hap2.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00735-XX/HG00735-XX.hap2.chrX.fasta
HG00735-XX.hap1.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00735-XX/HG00735-XX.hap1.chrX.fasta
HG03453-XX.hap2.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03453-XX/HG03453-XX.hap2.chrX.fasta
HG03453-XX.hap1.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03453-XX/HG03453-XX.hap1.chrX.fasta
HG02965-E1.hap2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02965-E1/HG02965-E1.hap2.chrX.fasta
