Sample	Seq	Sample_Seq	Resolution	PathName	Path	sample	idx	categ	ours_idx
HG00126	haplotype1-0000017	HG00126_haplotype1-0000017	SCAFFOLD	haplotype1_from_utig4-29	utig4-7-,utig4-29+	HG00126	0	match	2317
HG00140	haplotype1-0000004	HG00140_haplotype1-0000004	SCAFFOLD	haplotype1_from_utig4-1311	utig4-1311-,utig4-1310+,[N100000N:scaffold],utig4-1159-,utig4-1156-,[N5000N:ambig_path],utig4-1907+,utig4-1909+	HG00140	1	match	2076
HG00140	haplotype1-0000005	HG00140_haplotype1-0000005	UNPLACED	haplotype1_from_utig4-1312	utig4-1312+,utig4-1310-	HG00140	2	match	2085
HG00140	haplotype2-0000060	HG00140_haplotype2-0000060	UNPLACED	haplotype2_unused_utig4-1157	utig4-1157+	HG00140	3	match	2045
HG00140	haplotype2-0000061	HG00140_haplotype2-0000061	UNPLACED	haplotype2_unused_utig4-1158	utig4-1158+	HG00140	4	match	1416
HG00140	haplotype2-0000086	HG00140_haplotype2-0000086	UNPLACED	haplotype2_unused_utig4-1908	utig4-1908+	HG00140	5	match	3181
HG00280	haplotype1-0000024	HG00280_haplotype1-0000024	SCAFFOLD	haplotype1_from_utig4-516	utig4-737+,utig4-1461-,[N5000N:ambig_path],utig4-1463+,[N27852N:ambig_bubble],utig4-1141+,[N1000N:ambig_bubble],utig4-818+,[N1000N:ambig_bubble],utig4-516+,utig4-1036-	HG00280	6	match	1715
HG00280	haplotype1-0000029	HG00280_haplotype1-0000029	UNPLACED	haplotype1_unused_utig4-1142	utig4-1142+	HG00280	7	match	1601
HG00280	haplotype1-0000030	HG00280_haplotype1-0000030	UNPLACED	haplotype1_unused_utig4-1143	utig4-1143+	HG00280	8	match	510
HG00280	haplotype1-0000038	HG00280_haplotype1-0000038	UNPLACED	haplotype1_unused_utig4-1462	utig4-1462+	HG00280	9	match	1150
HG00280	haplotype1-0000071	HG00280_haplotype1-0000071	UNPLACED	haplotype1_unused_utig4-517	utig4-517+	HG00280	10	match	941
HG00280	haplotype1-0000072	HG00280_haplotype1-0000072	UNPLACED	haplotype1_unused_utig4-518	utig4-518+	HG00280	11	match	2417
HG00280	haplotype1-0000073	HG00280_haplotype1-0000073	UNPLACED	haplotype1_unused_utig4-819	utig4-819+	HG00280	12	match	1823
HG00280	haplotype1-0000074	HG00280_haplotype1-0000074	UNPLACED	haplotype1_unused_utig4-820	utig4-820+	HG00280	13	match	2188
HG00280	unassigned-0000312	HG00280_unassigned-0000312	UNPLACED_Cmpnt	na_unused_utig4-1413	utig4-1413+	HG00280	14	no-match	-1
HG00290	haplotype1-0000013	HG00290_haplotype1-0000013	SCAFFOLD	haplotype1_from_utig4-2251	utig4-772+,utig4-931+,utig4-2249+,utig4-2251+	HG00290	15	match	975
HG00290	unassigned-0001189	HG00290_unassigned-0001189	UNPLACED	na_unused_utig4-932	utig4-932+	HG00290	16	match	2316
HG002	pat-0000702	HG002_pat-0000702	SCAFFOLD	pat_from_utig4-897	utig4-897+,utig4-899+	NA24385	17	match	259
HG00321	haplotype1-0000002	HG00321_haplotype1-0000002	UNPLACED	haplotype1_from_utig4-1150	utig4-1150+,utig4-2066-,utig4-2067+,utig4-2036+,utig4-960-,utig4-811-,utig4-808-,utig4-804-,utig4-805+,utig4-1257+,[N5000N:ambig_path],utig4-1974-,utig4-1973-,utig4-1687-,utig4-1685+,utig4-1281-,utig4-1279-,utig4-1152-,utig4-1148-	HG00321	18	match	3146
HG00321	haplotype1-0000009	HG00321_haplotype1-0000009	UNPLACED	haplotype1_from_utig4-1984	utig4-1984+,utig4-1283-	HG00321	19	match	806
HG00321	haplotype1-0000028	HG00321_haplotype1-0000028	UNPLACED	haplotype1_from_utig4-997	utig4-997+,utig4-1001+	HG00321	20	match	114
HG00321	haplotype1-0000031	HG00321_haplotype1-0000031	UNPLACED	haplotype1_unused_utig4-1211	utig4-1211+	HG00321	21	match	3667
HG00321	haplotype1-0000038	HG00321_haplotype1-0000038	UNPLACED	haplotype1_unused_utig4-2342	utig4-2342+	HG00321	22	match	2308
HG00321	haplotype2-0000041	HG00321_haplotype2-0000041	SCAFFOLD	haplotype2_from_utig4-1151	utig4-811+,utig4-959+,utig4-1149-,utig4-1148+,utig4-1151+	HG00321	23	match	201
HG00321	haplotype2-0000043	HG00321_haplotype2-0000043	UNPLACED	haplotype2_from_utig4-1280	utig4-1240+,utig4-1210-,utig4-1209+,utig4-1973-,utig4-1686-,utig4-1685+,utig4-1282-,utig4-1279-,utig4-1280+,utig4-1284+,utig4-2069-	HG00321	24	match	1122
HG00321	haplotype2-0000065	HG00321_haplotype2-0000065	SCAFFOLD	haplotype2_from_utig4-6	utig4-6+,utig4-1000-,[N100000N:scaffold],utig4-2347-,utig4-2341-,utig4-1256-,utig4-1252-,utig4-1255+,utig4-806-,utig4-804+,utig4-807+,utig4-1985-,utig4-1983-	HG00321	25	match	805
HG00321	haplotype2-0000069	HG00321_haplotype2-0000069	UNPLACED	haplotype2_from_utig4-809	utig4-809+	HG00321	26	match	2546
HG00321	unassigned-0000167	HG00321_unassigned-0000167	UNPLACED	na_unused_utig4-1241	utig4-1241+	HG00321	27	match	1225
HG00321	unassigned-0000168	HG00321_unassigned-0000168	UNPLACED	na_unused_utig4-1242	utig4-1242+	HG00321	28	match	71
HG00321	unassigned-0000169	HG00321_unassigned-0000169	UNPLACED	na_unused_utig4-1243	utig4-1243+	HG00321	29	match	1646
HG00321	unassigned-0000170	HG00321_unassigned-0000170	UNPLACED	na_unused_utig4-1244	utig4-1244+	HG00321	30	match	1274
HG00321	unassigned-0000171	HG00321_unassigned-0000171	UNPLACED	na_unused_utig4-1245	utig4-1245+	HG00321	31	match	1922
HG00321	unassigned-0000177	HG00321_unassigned-0000177	UNPLACED	na_unused_utig4-1253	utig4-1253+	HG00321	32	match	2791
HG00321	unassigned-0000178	HG00321_unassigned-0000178	UNPLACED	na_unused_utig4-1254	utig4-1254+	HG00321	33	match	1775
HG00321	unassigned-0000586	HG00321_unassigned-0000586	UNPLACED	na_unused_utig4-2068	utig4-2068+	HG00321	34	match	2495
HG00321	unassigned-0000716	HG00321_unassigned-0000716	UNPLACED	na_unused_utig4-810	utig4-810+	HG00321	35	match	1697
HG00321	unassigned-0000760	HG00321_unassigned-0000760	UNPLACED	na_unused_utig4-998	utig4-998+	HG00321	36	match	2336
HG00321	unassigned-0000761	HG00321_unassigned-0000761	UNPLACED	na_unused_utig4-999	utig4-999+	HG00321	37	match	2128
HG00329	haplotype1-0000005	HG00329_haplotype1-0000005	UNPLACED	haplotype1_from_utig4-1588	utig4-1740-,utig4-1739-,utig4-820-,utig4-817-,utig4-818+,utig4-1544+,utig4-1547+,utig4-1685-,utig4-1684+,utig4-60-,utig4-56-,utig4-58+,utig4-1461+,utig4-618-,utig4-616+,utig4-620+,utig4-1794-,utig4-842-,utig4-840+,utig4-242-,utig4-240+,utig4-244+,utig4-1841+,utig4-1474-,utig4-1470-,utig4-1471+,utig4-1772-,utig4-1773+,utig4-1862-,utig4-1700-,utig4-1699-,utig4-1168-,utig4-1164-,utig4-1165+,utig4-1548-,utig4-898-,utig4-897-,utig4-136-,utig4-135+,utig4-139+,utig4-690+,utig4-691+,utig4-1587-,utig4-1588+,utig4-1763-,utig4-1567-,utig4-1566-,utig4-1561-,utig4-559-,utig4-557-,utig4-547-,utig4-546+,utig4-1109-,utig4-698-,utig4-696+,utig4-699+,utig4-919+,utig4-920+,utig4-1783+,utig4-157-,utig4-156+,utig4-160+,utig4-1799+,utig4-647-,utig4-645+,utig4-648+,utig4-1193-,utig4-1195+,utig4-1792+,utig4-50-,utig4-46-,utig4-48+,utig4-613-,utig4-614+,utig4-778-,utig4-780+,utig4-1651+,utig4-1653+,utig4-1780+,utig4-1619-,utig4-1617-,utig4-812-,utig4-811+,utig4-377-	HG00329	38	no-match	-1
HG00329	haplotype1-0000009	HG00329_haplotype1-0000009	UNPLACED	haplotype1_from_utig4-1756	utig4-1442-,utig4-1440-,utig4-27-,utig4-26+,utig4-30+,utig4-1755-,utig4-1756+,utig4-1759+,utig4-1823-,utig4-1824+,[N36933N:scaffold],utig4-1560+	HG00329	39	no-match	-1
HG00329	haplotype1-0000011	HG00329_haplotype1-0000011	UNPLACED	haplotype1_from_utig4-183	utig4-1534-,utig4-1532+,utig4-1203-,utig4-1201+,utig4-1205+,utig4-1621-,utig4-183-,utig4-181+,utig4-185+,utig4-634+,utig4-636+,utig4-1481+,utig4-1482+,utig4-1848+,utig4-1849+,utig4-1069-,utig4-1066-,[N100000N:scaffold],utig4-1373+,utig4-896-	HG00329	40	no-match	-1
HG00329	haplotype1-0000012	HG00329_haplotype1-0000012	SCAFFOLD	haplotype1_from_utig4-1858	utig4-1858+,[N5000N:ambig_path],utig4-1212+,[N5000N:ambig_path],utig4-1747+,utig4-587-,utig4-586+,[N55564N:scaffold],utig4-876+	HG00329	41	match	3241
HG00329	haplotype1-0000019	HG00329_haplotype1-0000019	UNPLACED	haplotype1_from_utig4-654	utig4-1445-,utig4-1444+,utig4-1223-,utig4-1221+,utig4-737-,utig4-735+,utig4-662-,utig4-660-,utig4-480-,utig4-477-,utig4-478+,utig4-1722+,utig4-1076-,utig4-1073-,utig4-1074+,utig4-1741-,utig4-907-,utig4-906-,utig4-727-,utig4-725+,utig4-728+,utig4-1615-,utig4-1564-,utig4-1563-,utig4-652-,utig4-650+,utig4-654+,utig4-931+,utig4-933+,utig4-1014-,utig4-1016+,utig4-1422+,utig4-1179-,utig4-1176-,utig4-1177+,utig4-608-,utig4-605-,utig4-601-,utig4-603+,utig4-1433-,utig4-1435+	HG00329	42	no-match	-1
HG00329	haplotype1-0000020	HG00329_haplotype1-0000020	UNPLACED	haplotype1_from_utig4-689	utig4-1414-,utig4-1412+,utig4-1415+,utig4-1600-,utig4-168-,utig4-166+,utig4-169+,utig4-626-,utig4-628+,utig4-1513-,utig4-1515+,utig4-1656-,utig4-1658+,utig4-1867-,utig4-1170-,utig4-1169+,utig4-1174+,utig4-1766-,utig4-774-,utig4-773+,utig4-776+,utig4-887-,utig4-889+,utig4-1189-,utig4-1190+,utig4-1872+,utig4-600-,utig4-598-,utig4-596+,utig4-173-,utig4-171+,utig4-175+,utig4-687-,utig4-689+,utig4-1675+,utig4-1677+	HG00329	43	no-match	-1
HG00329	haplotype1-0000023	HG00329_haplotype1-0000023	UNPLACED	haplotype1_from_utig4-769	utig4-149-,utig4-148+,utig4-151+,utig4-1778-,utig4-1777+,utig4-64-,utig4-61-,utig4-62+,utig4-768-,utig4-769+,utig4-1715+,utig4-1717+,utig4-1821-,utig4-1822+	HG00329	44	no-match	-1
HG00329	haplotype1-0000025	HG00329_haplotype1-0000025	UNPLACED	haplotype1_from_utig4-849	utig4-849+,utig4-851+,utig4-1147-	HG00329	45	no-match	-1
HG00329	haplotype1-0000026	HG00329_haplotype1-0000026	UNPLACED	haplotype1_from_utig4-935	utig4-935-,utig4-934-,utig4-178-,utig4-176+,utig4-180+,utig4-1106-,utig4-1107+,utig4-1606-,utig4-35-,utig4-31-,utig4-32+,utig4-1786-,utig4-1680-,utig4-1678+,utig4-123-,utig4-120-,utig4-122+,utig4-1842+,[N100000N:scaffold],utig4-483-,utig4-464-,utig4-461-,utig4-462+,utig4-717+,utig4-718+,utig4-1857+	HG00329	46	no-match	-1
