sample	alias	old_name	new_name	orient	proc_status
HG00126	HG00126	chrY_haplotype1-0000017	HG00126_chrY	1	auto
HG00140	HG00140	chrY_haplotype1-0000004	HG00140_chrY	1	auto
HG00140	HG00140	haplotype1-0000005	HG00140_chrY_random0000005	0	auto
HG00140	HG00140	haplotype2-0000060	HG00140_chrY_random0000060	0	auto
HG00140	HG00140	haplotype2-0000061	HG00140_chrY_random0000061	0	auto
HG00140	HG00140	haplotype2-0000086	HG00140_chrY_random0000086	0	auto
HG002	NA24385	chrY_pat-0000702	HG002_chrY	1	auto
HG00280	HG00280	chrY_haplotype1-0000024	HG00280_chrY	1	auto
HG00280	HG00280	haplotype1-0000029	HG00280_chrY_random0000029	0	auto
HG00280	HG00280	haplotype1-0000030	HG00280_chrY_random0000030	0	auto
HG00280	HG00280	haplotype1-0000038	HG00280_chrY_random0000038	0	auto
HG00280	HG00280	haplotype1-0000071	HG00280_chrY_random0000071	0	auto
HG00280	HG00280	haplotype1-0000072	HG00280_chrY_random0000072	0	auto
HG00290	HG00290	chrY_haplotype1-0000013	HG00290_chrY	1	auto
HG003	NA24143	chrY_haplotype1-0000002	HG003_chrY	1	auto
HG003	NA24143	haplotype1-0000026	HG003_chrY_random0000026	0	auto
HG003	NA24143	haplotype1-0000027	HG003_chrY_random0000027	0	auto
HG003	NA24143	haplotype1-0000053	HG003_chrY_random0000053	0	auto
HG003	NA24143	haplotype1-0000054	HG003_chrY_random0000054	0	auto
HG003	NA24143	haplotype1-0000055	HG003_chrY_random0000055	0	auto
HG003	NA24143	haplotype1-0000056	HG003_chrY_random0000056	0	auto
HG003	NA24143	haplotype1-0000057	HG003_chrY_random0000057	0	auto
HG003	NA24143	haplotype1-0000058	HG003_chrY_random0000058	0	auto
HG003	NA24143	haplotype1-0000091	HG003_chrY_random0000091	0	auto
HG003	NA24143	haplotype1-0000121	HG003_chrY_random0000121	0	auto
HG003	NA24143	haplotype1-0000122	HG003_chrY_random0000122	0	auto
HG003	NA24143	haplotype1-0000124	HG003_chrY_random0000124	0	auto
HG003	NA24143	haplotype1-0000130	HG003_chrY_random0000130	0	auto
HG003	NA24143	haplotype1-0000131	HG003_chrY_random0000131	0	auto
HG003	NA24143	haplotype1-0000132	HG003_chrY_random0000132	0	auto
HG003	NA24143	haplotype2-0000146	HG003_chrY_random0000146	0	auto
HG003	NA24143	unassigned-0000923	HG003_chrY_random0000923	0	auto
HG003	NA24143	unassigned-0000924	HG003_chrY_random0000924	0	auto
HG00321	HG00321	chrY_haplotype2-0000065	HG00321_chrY	1	auto
HG00321	HG00321	chrY_haplotype2-0000041	HG00321_chrY	1	auto
HG00321	HG00321	haplotype1-0000002	HG00321_chrY_random0000002	0	auto
HG00321	HG00321	haplotype1-0000009	HG00321_chrY_random0000009	0	auto
HG00321	HG00321	haplotype1-0000028	HG00321_chrY_random0000028	0	auto
HG00321	HG00321	haplotype1-0000031	HG00321_chrY_random0000031	0	auto
HG00321	HG00321	haplotype1-0000038	HG00321_chrY_random0000038	0	auto
HG00321	HG00321	haplotype2-0000043	HG00321_chrY_random0000043	0	auto
HG00321	HG00321	haplotype2-0000069	HG00321_chrY_random0000069	0	auto
HG00321	HG00321	unassigned-0000167	HG00321_chrY_random0000167	0	auto
HG00321	HG00321	unassigned-0000168	HG00321_chrY_random0000168	0	auto
HG00321	HG00321	unassigned-0000169	HG00321_chrY_random0000169	0	auto
HG00321	HG00321	unassigned-0000170	HG00321_chrY_random0000170	0	auto
HG00321	HG00321	unassigned-0000171	HG00321_chrY_random0000171	0	auto
HG00321	HG00321	unassigned-0000177	HG00321_chrY_random0000177	0	auto
HG00321	HG00321	unassigned-0000586	HG00321_chrY_random0000586	0	auto
HG00321	HG00321	unassigned-0000716	HG00321_chrY_random0000716	0	auto
HG00321	HG00321	unassigned-0000761	HG00321_chrY_random0000761	0	auto
HG00329	HG00329	chrY_haplotype1-0000012	HG00329_chrY	1	auto
HG00329	HG00329	haplotype1-0000035	HG00329_chrY_random0000035	0	auto
HG00329	HG00329	haplotype1-0000036	HG00329_chrY_random0000036	0	auto
HG00329	HG00329	haplotype1-0000037	HG00329_chrY_random0000037	0	auto
HG00329	HG00329	haplotype1-0000039	HG00329_chrY_random0000039	0	auto
HG00329	HG00329	haplotype1-0000046	HG00329_chrY_random0000046	0	auto
HG00329	HG00329	haplotype1-0000053	HG00329_chrY_random0000053	0	auto
HG00329	HG00329	haplotype1-0000064	HG00329_chrY_random0000064	0	auto
HG005	NA24631	chrY_pat-0001218	HG005_chrY	1	auto
HG005	NA24631	chrY_pat-0001233	HG005_chrY	1	auto
HG00609	HG00609	chrY_haplotype1-0000011	HG00609_chrY	1	auto
HG00621	HG00621	chrY_pat-0000611	HG00621_chrY	-1	auto
HG00642	HG00642	chrY_haplotype1-0000004	HG00642_chrY	1	auto
HG00658	HG00658	chrY_pat-0000544	HG00658_chrY	1	auto
HG00658	HG00658	chrY_pat-0000537	HG00658_chrY	1	auto
HG00658	HG00658	pat-0000523	HG00658_chrY_random0000523	0	auto
HG00658	HG00658	pat-0000526	HG00658_chrY_random0000526	0	auto
HG00658	HG00658	pat-0000527	HG00658_chrY_random0000527	0	auto
HG00658	HG00658	pat-0000536	HG00658_chrY_random0000536	0	auto
HG00658	HG00658	pat-0000571	HG00658_chrY_random0000571	0	auto
HG00658	HG00658	pat-0000583	HG00658_chrY_random0000583	0	auto
HG00658	HG00658	pat-0000584	HG00658_chrY_random0000584	0	auto
HG00658	HG00658	pat-0000585	HG00658_chrY_random0000585	0	auto
HG00658	HG00658	pat-0000600	HG00658_chrY_random0000600	0	auto
HG00658	HG00658	pat-0000602	HG00658_chrY_random0000602	0	auto
HG00658	HG00658	pat-0000604	HG00658_chrY_random0000604	0	auto
HG00658	HG00658	pat-0000605	HG00658_chrY_random0000605	0	auto
HG00658	HG00658	pat-0000606	HG00658_chrY_random0000606	0	auto
HG00658	HG00658	pat-0000607	HG00658_chrY_random0000607	0	auto
HG00658	HG00658	pat-0000644	HG00658_chrY_random0000644	0	auto
HG00658	HG00658	pat-0000668	HG00658_chrY_random0000668	0	auto
HG00658	HG00658	pat-0000669	HG00658_chrY_random0000669	0	auto
HG00658	HG00658	pat-0000677	HG00658_chrY_random0000677	0	auto
HG00658	HG00658	pat-0000678	HG00658_chrY_random0000678	0	auto
HG00658	HG00658	pat-0000679	HG00658_chrY_random0000679	0	auto
HG00658	HG00658	pat-0000681	HG00658_chrY_random0000681	0	auto
HG00658	HG00658	pat-0000702	HG00658_chrY_random0000702	0	auto
HG00658	HG00658	pat-0000704	HG00658_chrY_random0000704	0	auto
HG00658	HG00658	pat-0000705	HG00658_chrY_random0000705	0	auto
HG00658	HG00658	pat-0000706	HG00658_chrY_random0000706	0	auto
HG00658	HG00658	pat-0000726	HG00658_chrY_random0000726	0	auto
HG00658	HG00658	pat-0000727	HG00658_chrY_random0000727	0	auto
HG00658	HG00658	pat-0000765	HG00658_chrY_random0000765	0	auto
HG00658	HG00658	pat-0000813	HG00658_chrY_random0000813	0	auto
HG00658	HG00658	pat-0000814	HG00658_chrY_random0000814	0	auto
HG00658	HG00658	pat-0000815	HG00658_chrY_random0000815	0	auto
HG00658	HG00658	pat-0000816	HG00658_chrY_random0000816	0	auto
HG00658	HG00658	pat-0000817	HG00658_chrY_random0000817	0	auto
HG00658	HG00658	pat-0000821	HG00658_chrY_random0000821	0	auto
HG00658	HG00658	pat-0000822	HG00658_chrY_random0000822	0	auto
HG00658	HG00658	pat-0000825	HG00658_chrY_random0000825	0	auto
HG00658	HG00658	pat-0000826	HG00658_chrY_random0000826	0	auto
HG00658	HG00658	pat-0000827	HG00658_chrY_random0000827	0	auto
HG00673	HG00673	chrY_haplotype1-0000012	HG00673_chrY	1	auto
HG00673	HG00673	chrY_haplotype2-0000096	HG00673_chrY	1	auto
HG00673	HG00673	haplotype1-0000004	HG00673_chrY_random0000004	0	auto
HG00673	HG00673	haplotype1-0000006	HG00673_chrY_random0000006	0	auto
HG00673	HG00673	haplotype1-0000007	HG00673_chrY_random0000007	0	auto
HG00673	HG00673	haplotype1-0000037	HG00673_chrY_random0000037	0	auto
HG00673	HG00673	haplotype1-0000047	HG00673_chrY_random0000047	0	auto
HG00673	HG00673	haplotype2-0000109	HG00673_chrY_random0000109	0	auto
HG00673	HG00673	haplotype2-0000139	HG00673_chrY_random0000139	0	auto
HG00673	HG00673	unassigned-0000176	HG00673_chrY_random0000176	0	auto
HG00673	HG00673	unassigned-0000195	HG00673_chrY_random0000195	0	auto
HG00673	HG00673	unassigned-0000196	HG00673_chrY_random0000196	0	auto
HG00673	HG00673	unassigned-0000197	HG00673_chrY_random0000197	0	auto
HG00673	HG00673	unassigned-0000261	HG00673_chrY_random0000261	0	auto
HG00673	HG00673	unassigned-0000262	HG00673_chrY_random0000262	0	auto
HG00673	HG00673	unassigned-0000263	HG00673_chrY_random0000263	0	auto
HG00673	HG00673	unassigned-0000264	HG00673_chrY_random0000264	0	auto
HG00673	HG00673	unassigned-0000265	HG00673_chrY_random0000265	0	auto
HG00673	HG00673	unassigned-0000266	HG00673_chrY_random0000266	0	auto
HG00673	HG00673	unassigned-0000267	HG00673_chrY_random0000267	0	auto
HG00673	HG00673	unassigned-0000268	HG00673_chrY_random0000268	0	auto
HG00673	HG00673	unassigned-0000270	HG00673_chrY_random0000270	0	auto
HG00673	HG00673	unassigned-0000271	HG00673_chrY_random0000271	0	auto
HG00673	HG00673	unassigned-0000273	HG00673_chrY_random0000273	0	auto
HG00673	HG00673	unassigned-0000274	HG00673_chrY_random0000274	0	auto
HG00673	HG00673	unassigned-0000371	HG00673_chrY_random0000371	0	auto
HG00673	HG00673	unassigned-0000372	HG00673_chrY_random0000372	0	auto
HG00673	HG00673	unassigned-0000373	HG00673_chrY_random0000373	0	auto
HG00673	HG00673	unassigned-0000374	HG00673_chrY_random0000374	0	auto
HG00673	HG00673	unassigned-0000395	HG00673_chrY_random0000395	0	auto
HG00673	HG00673	unassigned-0000397	HG00673_chrY_random0000397	0	auto
HG00673	HG00673	unassigned-0000398	HG00673_chrY_random0000398	0	auto
HG00673	HG00673	unassigned-0000399	HG00673_chrY_random0000399	0	auto
HG00673	HG00673	unassigned-0000524	HG00673_chrY_random0000524	0	auto
HG00673	HG00673	unassigned-0000641	HG00673_chrY_random0000641	0	auto
HG00673	HG00673	unassigned-0000685	HG00673_chrY_random0000685	0	auto
HG00673	HG00673	unassigned-0000730	HG00673_chrY_random0000730	0	auto
HG00673	HG00673	unassigned-0000731	HG00673_chrY_random0000731	0	auto
HG00673	HG00673	unassigned-0000732	HG00673_chrY_random0000732	0	auto
HG00673	HG00673	unassigned-0000733	HG00673_chrY_random0000733	0	auto
HG00706	HG00706	chrY_haplotype1-0000020	HG00706_chrY	1	auto
HG00706	HG00706	haplotype2-0000074	HG00706_chrY_random0000074	0	auto
HG00706	HG00706	haplotype2-0000075	HG00706_chrY_random0000075	0	auto
HG00706	HG00706	haplotype2-0000090	HG00706_chrY_random0000090	0	auto
HG00706	HG00706	haplotype2-0000091	HG00706_chrY_random0000091	0	auto
HG00706	HG00706	haplotype2-0000111	HG00706_chrY_random0000111	0	auto
HG00706	HG00706	haplotype2-0000112	HG00706_chrY_random0000112	0	auto
HG00706	HG00706	haplotype2-0000122	HG00706_chrY_random0000122	0	auto
HG00706	HG00706	haplotype2-0000124	HG00706_chrY_random0000124	0	auto
HG00706	HG00706	unassigned-0000560	HG00706_chrY_random0000560	0	auto
HG00706	HG00706	unassigned-0000562	HG00706_chrY_random0000562	0	auto
HG00706	HG00706	unassigned-0000567	HG00706_chrY_random0000567	0	auto
HG00706	HG00706	unassigned-0000568	HG00706_chrY_random0000568	0	auto
HG00706	HG00706	unassigned-0000615	HG00706_chrY_random0000615	0	auto
HG00706	HG00706	unassigned-0000616	HG00706_chrY_random0000616	0	auto
HG00706	HG00706	unassigned-0000617	HG00706_chrY_random0000617	0	auto
HG00706	HG00706	unassigned-0000619	HG00706_chrY_random0000619	0	auto
HG00706	HG00706	unassigned-0000655	HG00706_chrY_random0000655	0	auto
HG00706	HG00706	unassigned-0000656	HG00706_chrY_random0000656	0	auto
HG00706	HG00706	unassigned-0000657	HG00706_chrY_random0000657	0	auto
HG00706	HG00706	unassigned-0000930	HG00706_chrY_random0000930	0	auto
HG00706	HG00706	unassigned-0000961	HG00706_chrY_random0000961	0	auto
HG00706	HG00706	unassigned-0001016	HG00706_chrY_random0001016	0	auto
HG00706	HG00706	unassigned-0001023	HG00706_chrY_random0001023	0	auto
