# 20260106T1117
# N=140
# group hprc: N=106
# group hgsvc: N=28
# group ceph: N=6
sample	sample_sex	sample_group	input_path	nucflag_hifi	nucflag_ont	flagger_hifi	flagger_ont	kmer_errors	centromere
200080	male	ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/asm-annot/ceph/chrY_assemblies/200080_chrY.fa.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20250922_nucflag_v034/200080/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/200080.nucflag_v2.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20251203_nucflag_v100/200080/hprc_chry/assembly_qc/nucflag/v1.0.0_ont/200080.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/hifi_v2/whole_genome/200080_flagger_prediction.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/ont_v1/whole_genome/200080_flagger_prediction_ont.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/merqury_qv/error_kmer_bed/200080_only.bed	200080_chrY:10242275-10572038
200084	male	ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/asm-annot/ceph/chrY_assemblies/200084_chrY.fa.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20250922_nucflag_v034/200084/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/200084.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20251203_nucflag_v100/200084/hprc_chry/assembly_qc/nucflag/v1.0.0_ont/200084.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/hifi_v2/whole_genome/200084_flagger_prediction.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/ont_v1/whole_genome/200084_flagger_prediction_ont.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/merqury_qv/error_kmer_bed/200084_only.bed	200084_chrY:10267706-10597469
200085	male	ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/asm-annot/ceph/chrY_assemblies/200085_chrY.fa.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20250922_nucflag_v034/200085/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/200085.nucflag_v3.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20251203_nucflag_v100/200085/hprc_chry/assembly_qc/nucflag/v1.0.0_ont/200085.nucflag_v2.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/hifi_v2/whole_genome/200085_flagger_prediction.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/ont_v1/whole_genome/200085_flagger_prediction_ont.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/merqury_qv/error_kmer_bed/200085_only.bed	200085_chrY:10457182-10786945
HG00096	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/asm-annot/hgsvc/chrY_assemblies/HG00096_chrY.fa.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20250922_nucflag_v034/HG00096/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00096.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20251203_nucflag_v100/HG00096/hprc_chry/assembly_qc/nucflag/v1.0.0_ont/HG00096.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/hifi_v2/whole_genome/HG00096_flagger_prediction.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/ont_v1/whole_genome/HG00096_flagger_prediction_ont.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/merqury_qv/error_kmer_bed/HG00096_only.bed	HG00096_chrY:10180147-10503944
HG00126	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/asm-annot/hprc/chrY_assemblies/HG00126_chrY.fa.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20250922_nucflag_v034/HG00126/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00126.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20251203_nucflag_v100/HG00126/hprc_chry/assembly_qc/nucflag/v1.0.0_ont/HG00126.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/hifi_v2/whole_genome/HG00126_flagger_prediction.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/ont_v1/whole_genome/HG00126_flagger_prediction_ont.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/merqury_qv/error_kmer_bed/HG00126_only.bed	HG00126_chrY:10214561-10515422
HG00140	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/asm-annot/hprc/chrY_assemblies/HG00140_chrY.fa.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20250922_nucflag_v034/HG00140/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00140.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20251203_nucflag_v100/HG00140/hprc_chry/assembly_qc/nucflag/v1.0.0_ont/HG00140.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/hifi_v2/whole_genome/HG00140_flagger_prediction.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/ont_v1/whole_genome/HG00140_flagger_prediction_ont.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/merqury_qv/error_kmer_bed/HG00140_only.bed	HG00140_chrY:10225052-11123960
HG002	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/asm-annot/hprc/chrY_assemblies/HG002_chrY.fa.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20250922_nucflag_v034/HG002/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG002.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20251203_nucflag_v100/HG002/hprc_chry/assembly_qc/nucflag/v1.0.0_ont/HG002.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/hifi_v2/whole_genome/HG002_flagger_prediction.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/ont_v1/whole_genome/HG002_flagger_prediction_ont.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/merqury_qv/error_kmer_bed/HG002_only.bed	HG002_chrY:10565080-10883099
HG00280	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/asm-annot/hprc/chrY_assemblies/HG00280_chrY.fa.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20250922_nucflag_v034/HG00280/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00280.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20251203_nucflag_v100/HG00280/hprc_chry/assembly_qc/nucflag/v1.0.0_ont/HG00280.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/hifi_v2/whole_genome/HG00280_flagger_prediction.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/ont_v1/whole_genome/HG00280_flagger_prediction_ont.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/merqury_qv/error_kmer_bed/HG00280_only.bed	HG00280_chrY:10092046-11215370
HG00290	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/asm-annot/hprc/chrY_assemblies/HG00290_chrY.fa.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20250922_nucflag_v034/HG00290/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00290.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20251203_nucflag_v100/HG00290/hprc_chry/assembly_qc/nucflag/v1.0.0_ont/HG00290.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/hifi_v2/whole_genome/HG00290_flagger_prediction.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/ont_v1/whole_genome/HG00290_flagger_prediction_ont.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/merqury_qv/error_kmer_bed/HG00290_only.bed	HG00290_chrY:10031029-11113526
HG003	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/asm-annot/hprc/chrY_assemblies/HG003_chrY.fa.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20250922_nucflag_v034/HG003/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG003.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/upenn/keith-oshima/20251203_nucflag_v100/HG003/hprc_chry/assembly_qc/nucflag/v1.0.0_ont/HG003.nucflag.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/hifi_v2/whole_genome/HG003_flagger_prediction.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/ucsc/prajna-hebbar/flagger/ont_v1/whole_genome/HG003_flagger_prediction_ont.bed	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/shares/globus/outgoing/hgsvc/sig_chry/v2/external-incoming/nhgri/arang-rhie/merqury_qv/error_kmer_bed/HG003_only.bed	HG003_chrY:10519593-10837612
