# 20250708T1327
# N=137
# group hprc: N=106
# group hgsvc: N=29
# group REF: N=2
sample	sample_sex	sample_group	input_path
HG00096	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG00096_chrY.fa.gz
HG00126	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00126_chrY.fa.gz
HG00140	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00140_chrY.fa.gz
HG002	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG002_chrY.fa.gz
HG00280	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00280_chrY.fa.gz
HG00290	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00290_chrY.fa.gz
HG003	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG003_chrY.fa.gz
HG00321	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00321_chrY.fa.gz
HG00329	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00329_chrY.fa.gz
HG00358	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG00358_chrY.fa.gz
HG005	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG005_chrY.fa.gz
HG00512	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG00512_chrY.fa.gz
HG00609	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00609_chrY.fa.gz
HG00621	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00621_chrY.fa.gz
HG00642	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00642_chrY.fa.gz
HG00658	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00658_chrY.fa.gz
HG00673	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00673_chrY.fa.gz
HG00706	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00706_chrY.fa.gz
HG00731	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG00731_chrY.fa.gz
HG00738	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG00738_chrY.fa.gz
HG01074	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01074_chrY.fa.gz
HG01099	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01099_chrY.fa.gz
HG01106	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01106_chrY.fa.gz
HG01109	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01109_chrY.fa.gz
HG01167	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01167_chrY.fa.gz
HG01192	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01192_chrY.fa.gz
HG01243	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01243_chrY.fa.gz
HG01252	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01252_chrY.fa.gz
HG01255	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01255_chrY.fa.gz
HG01258	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01258_chrY.fa.gz
HG01261	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01261_chrY.fa.gz
HG01358	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01358_chrY.fa.gz
HG01433	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01433_chrY.fa.gz
HG01457	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG01457_chrY.fa.gz
