#seq	start	end	name	score	strand	ref_umbrella_label	ref_umbrella_prefix	ref_umbrella_prefix_Pille
HG03225_chrY	0	5380	TELO	0	+	"PAR1,PAR2"	PAR	.
HG03225_chrY	5380	1207235	PAR1	1000	+	PAR1	PAR	.
HG03225_chrY	1207337	2527518	PAR1	1000	+	PAR1	PAR	.
HG03225_chrY	2527518	2796254	XDR1	1000	+	XDR1	XDR	.
HG03225_chrY	2796254	5983608	XTR1	1000	+	XTR1	XTR	.
HG03225_chrY	5946247	6271121	IR3	1000	+	non-umbrella	non-umbrella	.
HG03225_chrY	5983608	6271647	AMPL1	1000	+	AMPL1	AMP	.
HG03225_chrY	6271647	6518885	XTR2	1000	+	XTR2	XTR	.
HG03225_chrY	6518883	7353046	XDR2	1000	+	XDR2	XDR	.
HG03225_chrY	7347914	7412778	IR1	1000	+	non-umbrella	non-umbrella	.
HG03225_chrY	7353046	10274789	AMPL2	1000	+	AMPL2	AMP	.
HG03225_chrY	8849619	8946918	IR4	1000	+	non-umbrella	non-umbrella	.
HG03225_chrY	9057683	9725756	TSPY	1000	+	non-umbrella	non-umbrella	.
HG03225_chrY	9727333	9746134	TSPY	1000	+	non-umbrella	non-umbrella	.
HG03225_chrY	9807311	10140598	IR3	1000	+	non-umbrella	non-umbrella	.
HG03225_chrY	10089050	10116345	TSPY	1000	-	non-umbrella	non-umbrella	.
HG03225_chrY	10274789	10450563	SAT	1000	+	"SAT,SAT1,SAT2"	SAT	periCEN
HG03225_chrY	10450050	11341979	CEN	1000	+	CEN	CEN	CEN-DYZ3
HG03225_chrY	11341808	12172191	SAT	1000	+	"SAT,SAT1,SAT2"	SAT	periCEN
HG03225_chrY	12172191	12468653	DYZ17	1000	+	DYZ17	DYZ	periCEN
HG03225_chrY	12470009	13453202	DYZ17	1000	+	DYZ17	DYZ	periCEN
HG03225_chrY	13453202	15689011	XDR3	1000	+	XDR3	XDR	.
HG03225_chrY	14025196	14816151	AZFa	1000	+	non-umbrella	non-umbrella	.
HG03225_chrY	15689011	15724254	P8	1000	-	non-umbrella	non-umbrella	.
HG03225_chrY	15689011	15762907	AMPL3	1000	+	AMPL3	AMP	.
HG03225_chrY	15727668	15762907	P8	1000	+	non-umbrella	non-umbrella	.
HG03225_chrY	15762907	17579323	XDR4	1000	+	XDR4	XDR	.
HG03225_chrY	17579323	17587150	P7	1000	-	non-umbrella	non-umbrella	.
HG03225_chrY	17579323	17608660	AMPL4	1000	+	AMPL4	AMP	.
