sample blocksWNGaps NGapBetweenBlocks
HG02071 0 0
HG03579 0 0
HG01952 0 0
HG01934 0 0
NA18879 0 0
HG01255 0 0
HG02055 0 0
HG01106 1 0
HG03742 0 1
HG01530 0 1
HG00126 0 0
HG02647 0 1
HG02602 0 1
HG01258 0 0
NA20752 0 0
HG01167 0 0
HG005 0 0
HG01928 0 0
HG02698 1 0
HG003 0 1
HG03710 1 1
HG04187 1 5
HG01433 1 1
HG01252 0 0
HG03017 0 0
NA18952 0 0
HG02129 0 0
NA18983 0 0
HG03225 0 0
HG01099 0 0
HG03209 0 0
NA20346 0 0
HG02145 0 1
HG02056 0 0
HG01943 0 0
HG02258 0 1
HG01192 0 0
HG03130 0 0
HG00706 0 0
HG00140 0 1
HG02717 0 0
HG04160 0 0
HG03098 1 3
HG00673 1 1
NA18612 0 0
HG00290 0 0
HG03050 0 1
HG04228 0 0
HG02735 1 2
HG02083 0 0
HG02391 0 0
NA19443 0 0
HG00658 0 2
HG002 0 0
HG02074 0 0
HG02132 1 1
HG02392 0 0
HG02040 0 0
HG02514 0 0
HG02015 1 8
NA18522 0 0
NA20850 0 0
NA21093 0 0
HG02027 0 0
HG02965 0 0
HG01358 0 0
HG03139 0 0
NA20805 1 3
HG03688 0 0
HG03942 0 1
HG01074 0 0
HG02572 0 0
HG02738 0 0
HG01261 0 1
HG03471 0 0
HG02486 1 1
HG04199 0 0
HG01109 0 0
NA20809 0 1
HG03492 0 1
NA19700 0 0
HG00738 0 1
HG03521 0 0
HG00321 1 1
HG03654 1 1
HG02984 1 1
NA18747 0 0
HG04157 0 1
NA20905 0 0
NA19043 0 1
HG02135 0 0
NA18971 1 1
HG01243 0 2
HG04204 0 0
NA18620 0 0
NA18974 0 0
HG04115 0 0
NA18608 0 0
HG00280 1 2
HG00642 0 0
NA20870 0 0
NA19682 0 0
HG00609 0 0
HG00329 0 0
HG00621 0 0
HG02668 0 1
