# 20250319T1619
# N=109
sample	sample_sex	input_path
HG03710-G2.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03710-G2/HG03710-G2.chrY.fasta
HG02083-O1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02083-O1/HG02083-O1.chrY.fasta
HG02027-O2.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02027-O2/HG02027-O2.chrY.fasta
HG02074-O1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02074-O1/HG02074-O1.chrY.fasta
HG01952-Q1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01952-Q1/HG01952-Q1.chrY.fasta
HG02391-O2.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02391-O2/HG02391-O2.chrY.fasta
HG00609-O2.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00609-O2/HG00609-O2.chrY.fasta
NA19700-E1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19700-E1/NA19700-E1.chrY.fasta
HG02965-E1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02965-E1/HG02965-E1.chrY.fasta
NA24631-D1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA24631-D1/NA24631-D1.chrY.fasta
HG01943-R1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01943-R1/HG01943-R1.chrY.fasta
HG02602-R1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02602-R1/HG02602-R1.chrY.fasta
NA18620-C2.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18620-C2/NA18620-C2.chrY.fasta
NA20752-R1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA20752-R1/NA20752-R1.chrY.fasta
HG00126-R1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00126-R1/HG00126-R1.chrY.fasta
HG01258-J1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01258-J1/HG01258-J1.chrY.fasta
HG00621-O2.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00621-O2/HG00621-O2.chrY.fasta
NA18608-N1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18608-N1/NA18608-N1.chrY.fasta
NA20870-G1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA20870-G1/NA20870-G1.chrY.fasta
NA18522-E1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18522-E1/NA18522-E1.chrY.fasta
HG03942-H1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03942-H1/HG03942-H1.chrY.fasta
NA19043-B2.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19043-B2/NA19043-B2.chrY.fasta
HG01106-E1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01106-E1/HG01106-E1.chrY.fasta
HG02040-F.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02040-F/HG02040-F.chrY.fasta
HG03492-R1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03492-R1/HG03492-R1.chrY.fasta
HG02486-E1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02486-E1/HG02486-E1.chrY.fasta
HG01928-Q1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01928-Q1/HG01928-Q1.chrY.fasta
HG03050-E1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03050-E1/HG03050-E1.chrY.fasta
NA18879-E1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18879-E1/NA18879-E1.chrY.fasta
HG04228-R1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG04228-R1/HG04228-R1.chrY.fasta
NA18747-N1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18747-N1/NA18747-N1.chrY.fasta
HG03209-E1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03209-E1/HG03209-E1.chrY.fasta
HG01243-R1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01243-R1/HG01243-R1.chrY.fasta
NA21093-H1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA21093-H1/NA21093-H1.chrY.fasta
HG00658-O2.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00658-O2/HG00658-O2.chrY.fasta
NA20805-J2.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA20805-J2/NA20805-J2.chrY.fasta
HG04160-R2.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG04160-R2/HG04160-R2.chrY.fasta
NA19682-Q1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19682-Q1/NA19682-Q1.chrY.fasta
HG00280-N1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00280-N1/HG00280-N1.chrY.fasta
HG04157-C1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG04157-C1/HG04157-C1.chrY.fasta
HG03471-E1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03471-E1/HG03471-E1.chrY.fasta
NA19443-E1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19443-E1/NA19443-E1.chrY.fasta
HG01192-T1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01192-T1/HG01192-T1.chrY.fasta
HG01109-E1.chrY	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01109-E1/HG01109-E1.chrY.fasta
