1_Sample metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM sample ID,sample ID with alternative,sample_sex,Population,Super population,Father or son ID (if inlcuded in Y project),assembly_type,Dataset,hg_short,haplogroup_ISOGG_v15.73,haplogroup_yHaplo_term_marker,Y_known_SVs_Teitz-2018,study_generation,Comment,AZFc_region_structure,Comment2,Inversions/rearrangements,hifiCov,ontCov_total,ontCov_over100Kb,hicCov,Arang_comments,T2T?,Tel,Gaps,NumUnplaced,TelSeqSum,TotalBPs
HG02984,HG02984,male,GWD,AFR,,vrk-hic,HPRC,A0,A0a1,V153,NA,2025,,hg38-like; b2/b3-inv,,OLD; b2/b3-inv,62.279,159.967,31.589,41.1,,,pq,4,11,"18,938","52,964,714"
HG01890,HG01890,male,ACB,AFR,,?,HGSVC3,A0,A0b,L1038,ref,2024,,b1/b4_inv; b2/b3_inv,,b1/b4_inv; b2/b3_inv,65.55,153.499,55.827,35.74,hi-c,T2T contig,2,0,2,,"46,486,506"
HG02647,HG02647,male,GWD,AFR,,vrk-thc,HPRC,A1,A1a,M31,NA,2025,,IR5-inv; fragm?,,IR5_INV,60.106,112.442,21.017,114.94,,,pq,2,2,"17,970","54,649,369"
HG02666,HG02666,male,GWD,AFR,HG02668 S,?,HGSVC3,A1,A1a,M31,ref,2024,,IR5-inv,,OLD; IR5_inv; b2/b2_inv,59.254,172.827,61.085,45.83,manual,T2T contig - has a big inversion in AMPL,2,0,0,,"54,768,090"
HG02668,HG02668,male,GWD,AFR,HG02666 F,vrk-thc,HPRC,A1,A1a,M31,NA,2025,,IR5-inv; fragm?,,IR5_INV,64.959,111.892,16.815,155.88,,,pq,4,9,"21,069","51,895,945"
NA19043,NA19043,male,LWK,AFR,,vrk-hic,HPRC,B2,B2a1a1a1,M109,ref,2025,,mis-ASM?,,,60.498,138.67,28.02,185.72,,,pq,1,1,"26,009","59,217,886"
NA19384,NA19384,male,LWK,AFR,,?,HGSVC3,B2,B2b1,50f2(P),ref,2024,,T2T-like,P3 mis-ASM?,,90.948,148.56,50.232,56.34,manual,1 gap in AMPL / 1 gap in Yqh. 1 unplaced each. Missing TEL at PAR1,q,2,6,,"57,379,917"
HG03225,HG03225,male,MSL,AFR,,vrk-hic,HPRC,B3,B3,L1388,ref,2025,,hg38-like,,,58.75,175.973,53.09,69.68,,T2T contig,pq,0,0,"13,556","58,227,827"
NA18989,NA18989,male,JPT,EAS,,?,HGSVC3,C1a,C1a1a1a1a,CTS6678,P1 partial duplication,2024,,fragmented,mis-ASM?,AZFc-dupl,64.418,151.184,58.872,42.04,manual,has 5 gaps - 1 in cen / 1 in AMPL / 4 gaps in Yqh and 6 unplaced in Yqh,2,5,24,,"60,237,005"
NA18971,NA18971,male,JPT,EAS,,vrk-hic,HPRC,C1a,C1a1a1b,Z1356,ref,2025,,fragmented,,AZFc_dupl?,67.881,182.242,38.246,59.49,,,pq,2,1,"17,117","65,190,746"
NA18974,NA18974,male,JPT,EAS,,vrk-hic,HPRC,C1a,C1a1a1b,Z1356,NA,2025,,"P1 partial dupl (6 DAZ, 5 BPY2, 5 CDY)",,IR3_inv/AZFc dupli; 6 DAZ,81.539,197.501,42.084,31.87,,,pq,2,10,"9,946","67,226,647"
HG04157,HG04157,male,BEB,SAS,,vrk-hic,HPRC,C1b,C1b1a1a2a1,Z5900,NA,2025,,mis-ASM?,,IR3_inv,60.24,189.719,35.184,154.56,,,p,5,10,"10,679","45,011,078"
NA18620,NA18620,male,CHB,EAS,,vrk-hic,HPRC,C2,C2b1a2a1a1,M4236,ref,2025,,T2T-like,,,68.221,195.662,51.949,47.1,,,pq,1,17,"21,227","47,481,741"
NA18612,NA18612,male,CHB,EAS,,vrk-hic,HPRC,C2,C2b1a2b,CTS3385,ref,2025,,b1/b4-inv plus gr/gr-inv?,,b1/b4-inv plus gr/gr-inv?,60.27,172.583,39.359,64.65,,,pq,3,5,"16,713","72,760,757"
HG005,NA24631/HG005,male,Chinese,EAS,,vrk-thc,HPRC,D1,D1a1a1a,N1,NA,2025,,gr/gr-del,,gr/gr-del,58.859,69.819,21.408,110.41,,T2T_scaff,pq,1,0,"14,791","58,743,069"
NA18983,NA18983,male,JPT,EAS,,vrk-hic,HPRC,D1,D1a2a1a2b1~,Z3643,gr/gr,2025,,gr/gr-del,,gr/gr-del,66.254,156.935,34.019,45.73,,T2T contig,pq,0,0,"8,697","59,909,533"
NA18952,NA18952,male,JPT,EAS,,vrk-hic,HPRC,D1,D1a2a1c1,CTS1897,gr/gr_P7-arm-dupl,2025,,gr/gr-del,,IR3_inv; gr/gr-del,76.289,171.524,34.698,117.21,,,pq,2,1,"20,529","54,292,867"
HG03098,HG03098,male,MSL,AFR,,vrk-hic,HPRC,E1a,E1a2a1,CTS10935,NA,2025,,fragmented,,,42.053,343.748,65.237,25.5,,,pq,5,35,"17,537","48,749,023"
NA19239,NA19239,male,YRI,AFR,,?,HGSVC3,E1a,E1a2a1a1a,CTS1792,ref,2024,,hg38-like,,IR3_inv,63.99,121.581,44.235,43.8,manual,1 gap in AMPL / 1 in Yqh. 4 unplaced in Yqh,,,4,,"60,369,578"
HG03050,HG03050,male,GWD,AFR,,vrk-thc,HPRC,E1a,E1a2a1a2,Z15407,NA,2025,,hg38-like,,,49.423,150.771,37.279,144.76,,,pq,1,1,"21,217","56,041,276"
HG03248,HG03248,male,GWD,AFR,,?,HGSVC3,E1a,E1a2b1a1a1,Z14898,NA,2024,,hg38-like,,,82.987,128.623,48.446,41.17,manual,T2T contig,2,0,0,,"61,127,457"
HG02572,HG02572,male,GWD,AFR,,vrk-hic,HPRC,E1a,E1a2b1a2,M9119,NA,2023,,hg38-like,,,59.468,141.937,28.464,133.27,,T2T contig,pq,0,0,"10,173","52,964,226"
HG03471,HG03471,male,MSL,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a1c_father,L485,ref,2023,Father's Illumina (HG03469) used for phylogeny,T2T-like,,,60.773,158.919,31.481,69.06,,T2T contig,pq,0,0,"15,131","62,888,872"
