# 20250319T1619
# N=222
sample	sample_sex	input_path
HG03710-G2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03710-G2/HG03710-G2.chrX.fasta
HG02083-O1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02083-O1/HG02083-O1.chrX.fasta
HG02027-O2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02027-O2/HG02027-O2.chrX.fasta
HG01786-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01786-XX/HG01786-XX.chrX.fasta
HG03195-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03195-XX/HG03195-XX.chrX.fasta
HG02074-O1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02074-O1/HG02074-O1.chrX.fasta
HG01952-Q1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01952-Q1/HG01952-Q1.chrX.fasta
HG02391-O2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02391-O2/HG02391-O2.chrX.fasta
HG00609-O2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00609-O2/HG00609-O2.chrX.fasta
NA19700-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19700-E1/NA19700-E1.chrX.fasta
NA18505-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18505-XX/NA18505-XX.chrX.fasta
HG00735-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00735-XX/HG00735-XX.chrX.fasta
HG03453-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03453-XX/HG03453-XX.chrX.fasta
HG02965-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02965-E1/HG02965-E1.chrX.fasta
HG02178-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02178-XX/HG02178-XX.chrX.fasta
NA24631-D1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA24631-D1/NA24631-D1.chrX.fasta
HG03784-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03784-XX/HG03784-XX.chrX.fasta
HG01943-R1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01943-R1/HG01943-R1.chrX.fasta
HG02602-R1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02602-R1/HG02602-R1.chrX.fasta
HG03927-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03927-XX/HG03927-XX.chrX.fasta
NA18620-C2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18620-C2/NA18620-C2.chrX.fasta
NA20752-R1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA20752-R1/NA20752-R1.chrX.fasta
HG00232-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00232-XX/HG00232-XX.chrX.fasta
HG00126-R1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00126-R1/HG00126-R1.chrX.fasta
HG01258-J1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01258-J1/HG01258-J1.chrX.fasta
HG00423-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00423-XX/HG00423-XX.chrX.fasta
HG00621-O2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00621-O2/HG00621-O2.chrX.fasta
NA18608-N1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18608-N1/NA18608-N1.chrX.fasta
NA20870-G1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA20870-G1/NA20870-G1.chrX.fasta
NA19391-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19391-XX/NA19391-XX.chrX.fasta
NA18522-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18522-E1/NA18522-E1.chrX.fasta
HG02559-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02559-XX/HG02559-XX.chrX.fasta
HG01081-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01081-XX/HG01081-XX.chrX.fasta
NA19087-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19087-XX/NA19087-XX.chrX.fasta
HG01891-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01891-XX/HG01891-XX.chrX.fasta
HG03816-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03816-XX/HG03816-XX.chrX.fasta
HG03540-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03540-XX/HG03540-XX.chrX.fasta
HG03942-H1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03942-H1/HG03942-H1.chrX.fasta
NA19043-B2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19043-B2/NA19043-B2.chrX.fasta
HG02809-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02809-XX/HG02809-XX.chrX.fasta
HG02841-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02841-XX/HG02841-XX.chrX.fasta
HG01106-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01106-E1/HG01106-E1.chrX.fasta
HG02080-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02080-XX/HG02080-XX.chrX.fasta
HG00133-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00133-XX/HG00133-XX.chrX.fasta
HG02040-F.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02040-F/HG02040-F.chrX.fasta
HG03874-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03874-XX/HG03874-XX.chrX.fasta
HG03492-R1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03492-R1/HG03492-R1.chrX.fasta
HG02486-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02486-E1/HG02486-E1.chrX.fasta
HG01928-Q1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01928-Q1/HG01928-Q1.chrX.fasta
HG03050-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03050-E1/HG03050-E1.chrX.fasta
HG00128-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00128-XX/HG00128-XX.chrX.fasta
HG01123-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01123-XX/HG01123-XX.chrX.fasta
HG02583-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02583-XX/HG02583-XX.chrX.fasta
HG00741-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00741-XX/HG00741-XX.chrX.fasta
HG00558-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00558-XX/HG00558-XX.chrX.fasta
NA18879-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18879-E1/NA18879-E1.chrX.fasta
HG04228-R1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG04228-R1/HG04228-R1.chrX.fasta
HG03831-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03831-XX/HG03831-XX.chrX.fasta
NA21102-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA21102-XX/NA21102-XX.chrX.fasta
NA18747-N1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA18747-N1/NA18747-N1.chrX.fasta
NA21110-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA21110-XX/NA21110-XX.chrX.fasta
HG01496-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01496-XX/HG01496-XX.chrX.fasta
HG00344-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00344-XX/HG00344-XX.chrX.fasta
HG03209-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03209-E1/HG03209-E1.chrX.fasta
HG01243-R1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01243-R1/HG01243-R1.chrX.fasta
HG00097-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00097-XX/HG00097-XX.chrX.fasta
NA21093-H1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA21093-H1/NA21093-H1.chrX.fasta
HG00658-O2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00658-O2/HG00658-O2.chrX.fasta
HG02886-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02886-XX/HG02886-XX.chrX.fasta
HG00099-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00099-XX/HG00099-XX.chrX.fasta
HG02148-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02148-XX/HG02148-XX.chrX.fasta
NA20805-J2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA20805-J2/NA20805-J2.chrX.fasta
HG03270-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03270-XX/HG03270-XX.chrX.fasta
HG04160-R2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG04160-R2/HG04160-R2.chrX.fasta
NA19682-Q1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19682-Q1/NA19682-Q1.chrX.fasta
HG00280-N1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00280-N1/HG00280-N1.chrX.fasta
HG04157-C1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG04157-C1/HG04157-C1.chrX.fasta
HG03471-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03471-E1/HG03471-E1.chrX.fasta
NA19185-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19185-XX/NA19185-XX.chrX.fasta
HG02922-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG02922-XX/HG02922-XX.chrX.fasta
NA19443-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19443-E1/NA19443-E1.chrX.fasta
HG01192-T1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01192-T1/HG01192-T1.chrX.fasta
HG01109-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01109-E1/HG01109-E1.chrX.fasta
HG04115-R1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG04115-R1/HG04115-R1.chrX.fasta
NA19159-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19159-XX/NA19159-XX.chrX.fasta
NA19036-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/NA19036-XX/NA19036-XX.chrX.fasta
HG03654-Q2.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG03654-Q2/HG03654-Q2.chrX.fasta
HG00320-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00320-XX/HG00320-XX.chrX.fasta
HG04184-XX.chrX	female	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG04184-XX/HG04184-XX.chrX.fasta
HG00290-N1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG00290-N1/HG00290-N1.chrX.fasta
HG01252-E1.chrX	male	/gpfs/project/projects/medbioinf/projects/cubi/projects/chrom-y-extended/smk-workdir/00-extract/seq_short_names/HG01252-E1/HG01252-E1.chrX.fasta
