#seq	start	end	name	score	strand	ref_umbrella_label	ref_umbrella_prefix	ref_umbrella_prefix_Pille
HG02698_chrY	0	12764	TELO	0	+	"PAR1,PAR2"	PAR	.
HG02698_chrY	12764	49238	PAR1	1000	+	PAR1	PAR	.
HG02698_chrY	58885	223989	PAR1	1000	+	PAR1	PAR	.
HG02698_chrY	224405	724431	PAR1	1000	+	PAR1	PAR	.
HG02698_chrY	725186	2471044	PAR1	1000	+	PAR1	PAR	.
HG02698_chrY	2471044	2739579	XDR1	1000	+	XDR1	XDR	.
HG02698_chrY	2739579	5927469	XTR1	1000	+	XTR1	XTR	.
HG02698_chrY	5927469	6235246	AMPL1_IR3d	1000	+	AMPL1_IR3d	AMP	.
HG02698_chrY	5934646	5961944	TSPY	1000	+	non-umbrella	non-umbrella	.
HG02698_chrY	6235246	6451025	XTR2	1000	+	XTR2	XTR	.
HG02698_chrY	6451025	7288832	XDR2	1000	+	XDR2	XDR	.
HG02698_chrY	7281225	7288833	green-IR1	1000	+	non-umbrella	non-umbrella	.
HG02698_chrY	7288832	7312135	IR1-Yp	1000	+	non-umbrella	non-umbrella	.
HG02698_chrY	7288832	8753610	AMPL2	1000	+	AMPL2	AMP	.
HG02698_chrY	7312131	7342090	blue-IR1	1000	+	non-umbrella	non-umbrella	.
HG02698_chrY	8756796	8759046	AMPL2	1000	+	AMPL2	AMP	.
HG02698_chrY	8764213	8768457	AMPL2	1000	+	AMPL2	AMP	.
HG02698_chrY	8769574	8771178	AMPL2	1000	+	AMPL2	AMP	.
HG02698_chrY	8773111	9161785	AMPL2	1000	+	AMPL2	AMP	.
HG02698_chrY	8989935	9576959	TSPY	1000	+	non-umbrella	non-umbrella	.
HG02698_chrY	9183952	10165144	AMPL2	1000	+	AMPL2	AMP	.
HG02698_chrY	9578538	9597339	TSPY	1000	+	non-umbrella	non-umbrella	.
HG02698_chrY	9663400	9954360	IR3-prox	1000	+	non-umbrella	non-umbrella	.
HG02698_chrY	10165144	10231976	other1	1000	+	other1	OTH	.
HG02698_chrY	10231976	10237799	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	10237799	10981764	CEN-DYZ3	1000	-	CEN_DYZ3	CEN	CEN-DYZ3
HG02698_chrY	10280889	10980925	CEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	10986001	11011287	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11011915	11015235	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11030840	11034024	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11040371	11049507	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11050482	11052728	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11060674	11134077	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11134678	11170291	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11175788	11211649	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11211832	11218288	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11219516	11229851	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11230102	11244575	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11245465	11283159	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11283371	11286533	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11288621	11332491	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11332536	11336468	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11337063	11343321	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11344178	11348252	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11349005	11952312	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	11953593	12002887	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12004233	12038340	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12040774	12070614	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12071949	12087076	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12089790	12091225	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12098067	12099472	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12100813	12102218	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12104896	12111872	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12114588	12115998	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12118711	12126974	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12132438	12133843	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12137935	12139345	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12143437	12144852	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12146193	12151727	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12153073	12162188	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12165465	12166869	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12172328	12173714	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12175074	12176479	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12179193	12180598	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12183302	12186080	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12188794	12191572	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12199813	12201218	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12202559	12210874	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12213602	12216374	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12218898	12221669	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12225743	12227146	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12229862	12231267	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12235354	12236759	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12240846	12242251	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12254351	12255756	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12259843	12261248	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12265335	12266740	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12268081	12269486	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12270812	12272217	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12273558	12274963	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12277657	12281808	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12284523	12285911	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12290007	12291412	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12295509	12298282	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12299623	12301033	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12305105	12311982	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12313308	12314718	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12316059	12320219	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12322938	12325720	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12328434	12345035	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12348097	12541967	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12545140	12551578	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12552745	12559241	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12560386	12566737	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12567882	12574253	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12575425	12581793	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12582942	12589319	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12590483	12596854	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12598018	12604389	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12605548	12611919	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12613088	12619459	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12620618	12626975	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12628149	12634501	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12635680	12641688	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12642847	12649199	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12650368	12656715	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12659529	12660598	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12661720	12664424	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12665551	12668250	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
HG02698_chrY	12669367	12672066	periCEN	1000	+	"CEN1,CEN2"	CEN	periCEN
