sample	alias	old_name	new_name	orient	proc_status	idx	categ	ours_idx
HG00126	HG00126	chrY_haplotype1-0000017	HG00126_chrY	1	auto	0	match	2317
HG00140	HG00140	chrY_haplotype1-0000004	HG00140_chrY	1	auto	1	match	2076
HG00140	HG00140	haplotype1-0000005	HG00140_chrY_random0000005	0	auto	2	match	2085
HG00140	HG00140	haplotype2-0000060	HG00140_chrY_random0000060	0	auto	3	match	2045
HG00140	HG00140	haplotype2-0000061	HG00140_chrY_random0000061	0	auto	4	match	1416
HG00140	HG00140	haplotype2-0000086	HG00140_chrY_random0000086	0	auto	5	match	3181
NA24385	NA24385	chrY_pat-0000702	HG002_chrY	1	auto	6	match	259
HG00280	HG00280	chrY_haplotype1-0000024	HG00280_chrY	1	auto	7	match	1715
HG00280	HG00280	haplotype1-0000029	HG00280_chrY_random0000029	0	auto	8	match	1601
HG00280	HG00280	haplotype1-0000030	HG00280_chrY_random0000030	0	auto	9	match	510
HG00280	HG00280	haplotype1-0000038	HG00280_chrY_random0000038	0	auto	10	match	1150
HG00280	HG00280	haplotype1-0000071	HG00280_chrY_random0000071	0	auto	11	match	941
HG00280	HG00280	haplotype1-0000072	HG00280_chrY_random0000072	0	auto	12	match	2417
HG00290	HG00290	chrY_haplotype1-0000013	HG00290_chrY	1	auto	13	match	975
NA24149	NA24143	chrY_haplotype1-0000002	HG003_chrY	1	auto	14	match	343
NA24149	NA24143	haplotype1-0000026	HG003_chrY_random0000026	0	auto	15	match	184
NA24149	NA24143	haplotype1-0000027	HG003_chrY_random0000027	0	auto	16	match	1032
NA24149	NA24143	haplotype1-0000053	HG003_chrY_random0000053	0	auto	17	match	1063
NA24149	NA24143	haplotype1-0000054	HG003_chrY_random0000054	0	auto	18	match	1914
NA24149	NA24143	haplotype1-0000055	HG003_chrY_random0000055	0	auto	19	match	1166
NA24149	NA24143	haplotype1-0000056	HG003_chrY_random0000056	0	auto	20	match	1403
NA24149	NA24143	haplotype1-0000057	HG003_chrY_random0000057	0	auto	21	match	596
NA24149	NA24143	haplotype1-0000058	HG003_chrY_random0000058	0	auto	22	match	124
NA24149	NA24143	haplotype1-0000091	HG003_chrY_random0000091	0	auto	23	match	915
NA24149	NA24143	haplotype1-0000121	HG003_chrY_random0000121	0	auto	24	match	880
NA24149	NA24143	haplotype1-0000122	HG003_chrY_random0000122	0	auto	25	match	411
NA24149	NA24143	haplotype1-0000124	HG003_chrY_random0000124	0	auto	26	match	1940
NA24149	NA24143	haplotype1-0000130	HG003_chrY_random0000130	0	auto	27	match	1336
NA24149	NA24143	haplotype1-0000131	HG003_chrY_random0000131	0	auto	28	match	2141
NA24149	NA24143	haplotype1-0000132	HG003_chrY_random0000132	0	auto	29	match	3023
NA24149	NA24143	haplotype2-0000146	HG003_chrY_random0000146	0	auto	30	match	1262
NA24149	NA24143	unassigned-0000923	HG003_chrY_random0000923	0	auto	31	match	2230
NA24149	NA24143	unassigned-0000924	HG003_chrY_random0000924	0	auto	32	match	2204
HG00321	HG00321	chrY_haplotype2-0000065	HG00321_chrY	1	auto	33	match	805
HG00321	HG00321	chrY_haplotype2-0000041	HG00321_chrY	1	auto	34	match	201
HG00321	HG00321	haplotype1-0000002	HG00321_chrY_random0000002	0	auto	35	match	3146
HG00321	HG00321	haplotype1-0000009	HG00321_chrY_random0000009	0	auto	36	match	806
HG00321	HG00321	haplotype1-0000028	HG00321_chrY_random0000028	0	auto	37	match	114
HG00321	HG00321	haplotype1-0000031	HG00321_chrY_random0000031	0	auto	38	match	3667
HG00321	HG00321	haplotype1-0000038	HG00321_chrY_random0000038	0	auto	39	match	2308
HG00321	HG00321	haplotype2-0000043	HG00321_chrY_random0000043	0	auto	40	match	1122
HG00321	HG00321	haplotype2-0000069	HG00321_chrY_random0000069	0	auto	41	match	2546
HG00321	HG00321	unassigned-0000167	HG00321_chrY_random0000167	0	auto	42	match	1225
HG00321	HG00321	unassigned-0000168	HG00321_chrY_random0000168	0	auto	43	match	71
HG00321	HG00321	unassigned-0000169	HG00321_chrY_random0000169	0	auto	44	match	1646
HG00321	HG00321	unassigned-0000170	HG00321_chrY_random0000170	0	auto	45	match	1274
HG00321	HG00321	unassigned-0000171	HG00321_chrY_random0000171	0	auto	46	match	1922
HG00321	HG00321	unassigned-0000177	HG00321_chrY_random0000177	0	auto	47	match	2791
HG00321	HG00321	unassigned-0000586	HG00321_chrY_random0000586	0	auto	48	match	2495
HG00321	HG00321	unassigned-0000716	HG00321_chrY_random0000716	0	auto	49	match	1697
HG00321	HG00321	unassigned-0000761	HG00321_chrY_random0000761	0	auto	50	match	2128
HG00329	HG00329	chrY_haplotype1-0000012	HG00329_chrY	1	auto	51	match	3241
HG00329	HG00329	haplotype1-0000035	HG00329_chrY_random0000035	0	auto	52	match	187
HG00329	HG00329	haplotype1-0000036	HG00329_chrY_random0000036	0	auto	53	match	3519
HG00329	HG00329	haplotype1-0000037	HG00329_chrY_random0000037	0	auto	54	match	374
HG00329	HG00329	haplotype1-0000039	HG00329_chrY_random0000039	0	auto	55	match	3449
HG00329	HG00329	haplotype1-0000046	HG00329_chrY_random0000046	0	auto	56	match	711
HG00329	HG00329	haplotype1-0000053	HG00329_chrY_random0000053	0	auto	57	match	1629
HG00329	HG00329	haplotype1-0000064	HG00329_chrY_random0000064	0	auto	58	match	142
NA24631	NA24631	chrY_pat-0001218	HG005_chrY	1	auto	59	match	756
NA24631	NA24631	chrY_pat-0001233	HG005_chrY	1	auto	60	match	1890
HG00609	HG00609	chrY_haplotype1-0000011	HG00609_chrY	1	auto	61	match	1615
HG00621	HG00621	chrY_pat-0000611	HG00621_chrY	-1	auto	62	match	157
HG00642	HG00642	chrY_haplotype1-0000004	HG00642_chrY	1	auto	63	match	2007
HG00658	HG00658	chrY_pat-0000544	HG00658_chrY	1	auto	64	match	972
HG00658	HG00658	chrY_pat-0000537	HG00658_chrY	1	auto	65	match	2263
HG00658	HG00658	pat-0000523	HG00658_chrY_random0000523	0	auto	66	match	165
HG00658	HG00658	pat-0000526	HG00658_chrY_random0000526	0	auto	67	match	2089
HG00658	HG00658	pat-0000527	HG00658_chrY_random0000527	0	auto	68	match	93
HG00658	HG00658	pat-0000536	HG00658_chrY_random0000536	0	auto	69	match	1214
HG00658	HG00658	pat-0000571	HG00658_chrY_random0000571	0	auto	70	match	2300
HG00658	HG00658	pat-0000583	HG00658_chrY_random0000583	0	auto	71	match	3121
HG00658	HG00658	pat-0000584	HG00658_chrY_random0000584	0	auto	72	match	87
HG00658	HG00658	pat-0000585	HG00658_chrY_random0000585	0	auto	73	match	825
HG00658	HG00658	pat-0000600	HG00658_chrY_random0000600	0	auto	74	match	2710
HG00658	HG00658	pat-0000602	HG00658_chrY_random0000602	0	auto	75	match	1281
HG00658	HG00658	pat-0000604	HG00658_chrY_random0000604	0	auto	76	match	1808
HG00658	HG00658	pat-0000605	HG00658_chrY_random0000605	0	auto	77	match	1541
HG00658	HG00658	pat-0000606	HG00658_chrY_random0000606	0	auto	78	match	6
HG00658	HG00658	pat-0000607	HG00658_chrY_random0000607	0	auto	79	match	1399
HG00658	HG00658	pat-0000644	HG00658_chrY_random0000644	0	auto	80	match	631
HG00658	HG00658	pat-0000668	HG00658_chrY_random0000668	0	auto	81	match	1549
HG00658	HG00658	pat-0000669	HG00658_chrY_random0000669	0	auto	82	match	1528
HG00658	HG00658	pat-0000677	HG00658_chrY_random0000677	0	auto	83	match	2041
HG00658	HG00658	pat-0000678	HG00658_chrY_random0000678	0	auto	84	match	1826
HG00658	HG00658	pat-0000679	HG00658_chrY_random0000679	0	auto	85	match	646
HG00658	HG00658	pat-0000681	HG00658_chrY_random0000681	0	auto	86	match	974
HG00658	HG00658	pat-0000702	HG00658_chrY_random0000702	0	auto	87	match	150
HG00658	HG00658	pat-0000704	HG00658_chrY_random0000704	0	auto	88	match	283
HG00658	HG00658	pat-0000705	HG00658_chrY_random0000705	0	auto	89	match	821
HG00658	HG00658	pat-0000706	HG00658_chrY_random0000706	0	auto	90	match	1091
HG00658	HG00658	pat-0000726	HG00658_chrY_random0000726	0	auto	91	match	690
HG00658	HG00658	pat-0000727	HG00658_chrY_random0000727	0	auto	92	match	2930
HG00658	HG00658	pat-0000765	HG00658_chrY_random0000765	0	auto	93	match	1213
HG00658	HG00658	pat-0000813	HG00658_chrY_random0000813	0	auto	94	match	733
HG00658	HG00658	pat-0000814	HG00658_chrY_random0000814	0	auto	95	match	12
HG00658	HG00658	pat-0000815	HG00658_chrY_random0000815	0	auto	96	match	1811
HG00658	HG00658	pat-0000816	HG00658_chrY_random0000816	0	auto	97	match	3271
HG00658	HG00658	pat-0000817	HG00658_chrY_random0000817	0	auto	98	match	1216
HG00658	HG00658	pat-0000821	HG00658_chrY_random0000821	0	auto	99	match	776
HG00658	HG00658	pat-0000822	HG00658_chrY_random0000822	0	auto	100	match	186
HG00658	HG00658	pat-0000825	HG00658_chrY_random0000825	0	auto	101	match	1406
HG00658	HG00658	pat-0000826	HG00658_chrY_random0000826	0	auto	102	match	2707
HG00658	HG00658	pat-0000827	HG00658_chrY_random0000827	0	auto	103	match	2028
HG00673	HG00673	chrY_haplotype1-0000012	HG00673_chrY	1	auto	104	match	3846
HG00673	HG00673	chrY_haplotype2-0000096	HG00673_chrY	1	auto	105	match	3579
HG00673	HG00673	haplotype1-0000004	HG00673_chrY_random0000004	0	auto	106	match	3918
HG00673	HG00673	haplotype1-0000006	HG00673_chrY_random0000006	0	auto	107	match	2206
HG00673	HG00673	haplotype1-0000007	HG00673_chrY_random0000007	0	auto	108	match	491
HG00673	HG00673	haplotype1-0000037	HG00673_chrY_random0000037	0	auto	109	match	2274
HG00673	HG00673	haplotype1-0000047	HG00673_chrY_random0000047	0	auto	110	match	520
HG00673	HG00673	haplotype2-0000109	HG00673_chrY_random0000109	0	auto	111	match	722
HG00673	HG00673	haplotype2-0000139	HG00673_chrY_random0000139	0	auto	112	match	1586
HG00673	HG00673	unassigned-0000176	HG00673_chrY_random0000176	0	auto	113	match	2042
HG00673	HG00673	unassigned-0000195	HG00673_chrY_random0000195	0	auto	114	match	1455
HG00673	HG00673	unassigned-0000196	HG00673_chrY_random0000196	0	auto	115	match	1535
HG00673	HG00673	unassigned-0000197	HG00673_chrY_random0000197	0	auto	116	match	2278
HG00673	HG00673	unassigned-0000261	HG00673_chrY_random0000261	0	auto	117	match	2155
HG00673	HG00673	unassigned-0000262	HG00673_chrY_random0000262	0	auto	118	match	3520
HG00673	HG00673	unassigned-0000263	HG00673_chrY_random0000263	0	auto	119	match	2948
HG00673	HG00673	unassigned-0000264	HG00673_chrY_random0000264	0	auto	120	match	416
HG00673	HG00673	unassigned-0000265	HG00673_chrY_random0000265	0	auto	121	match	447
HG00673	HG00673	unassigned-0000266	HG00673_chrY_random0000266	0	auto	122	match	128
HG00673	HG00673	unassigned-0000267	HG00673_chrY_random0000267	0	auto	123	match	2958
HG00673	HG00673	unassigned-0000268	HG00673_chrY_random0000268	0	auto	124	match	1175
HG00673	HG00673	unassigned-0000270	HG00673_chrY_random0000270	0	auto	125	match	503
HG00673	HG00673	unassigned-0000271	HG00673_chrY_random0000271	0	auto	126	match	2586
HG00673	HG00673	unassigned-0000273	HG00673_chrY_random0000273	0	auto	127	match	282
HG00673	HG00673	unassigned-0000274	HG00673_chrY_random0000274	0	auto	128	match	1364
HG00673	HG00673	unassigned-0000371	HG00673_chrY_random0000371	0	auto	129	match	1962
HG00673	HG00673	unassigned-0000372	HG00673_chrY_random0000372	0	auto	130	match	1595
HG00673	HG00673	unassigned-0000373	HG00673_chrY_random0000373	0	auto	131	match	2658
HG00673	HG00673	unassigned-0000374	HG00673_chrY_random0000374	0	auto	132	match	29
HG00673	HG00673	unassigned-0000395	HG00673_chrY_random0000395	0	auto	133	match	1408
HG00673	HG00673	unassigned-0000397	HG00673_chrY_random0000397	0	auto	134	match	2436
HG00673	HG00673	unassigned-0000398	HG00673_chrY_random0000398	0	auto	135	match	3249
HG00673	HG00673	unassigned-0000399	HG00673_chrY_random0000399	0	auto	136	match	537
HG00673	HG00673	unassigned-0000524	HG00673_chrY_random0000524	0	auto	137	match	359
HG00673	HG00673	unassigned-0000641	HG00673_chrY_random0000641	0	auto	138	match	1821
HG00673	HG00673	unassigned-0000685	HG00673_chrY_random0000685	0	auto	139	match	2794
HG00673	HG00673	unassigned-0000730	HG00673_chrY_random0000730	0	auto	140	match	2942
HG00673	HG00673	unassigned-0000731	HG00673_chrY_random0000731	0	auto	141	match	478
HG00673	HG00673	unassigned-0000732	HG00673_chrY_random0000732	0	auto	142	match	2852
HG00673	HG00673	unassigned-0000733	HG00673_chrY_random0000733	0	auto	143	match	3137
HG00706	HG00706	chrY_haplotype1-0000020	HG00706_chrY	1	auto	144	match	719
HG00706	HG00706	haplotype2-0000074	HG00706_chrY_random0000074	0	auto	145	match	1798
HG00706	HG00706	haplotype2-0000075	HG00706_chrY_random0000075	0	auto	146	match	2941
HG00706	HG00706	haplotype2-0000090	HG00706_chrY_random0000090	0	auto	147	match	3851
HG00706	HG00706	haplotype2-0000091	HG00706_chrY_random0000091	0	auto	148	match	2722
HG00706	HG00706	haplotype2-0000111	HG00706_chrY_random0000111	0	auto	149	match	379
HG00706	HG00706	haplotype2-0000112	HG00706_chrY_random0000112	0	auto	150	match	1701
HG00706	HG00706	haplotype2-0000122	HG00706_chrY_random0000122	0	auto	151	match	1354
HG00706	HG00706	haplotype2-0000124	HG00706_chrY_random0000124	0	auto	152	match	531
HG00706	HG00706	unassigned-0000560	HG00706_chrY_random0000560	0	auto	153	match	3483
HG00706	HG00706	unassigned-0000562	HG00706_chrY_random0000562	0	auto	154	match	3627
HG00706	HG00706	unassigned-0000567	HG00706_chrY_random0000567	0	auto	155	match	1779
HG00706	HG00706	unassigned-0000568	HG00706_chrY_random0000568	0	auto	156	match	989
HG00706	HG00706	unassigned-0000615	HG00706_chrY_random0000615	0	auto	157	match	3005
HG00706	HG00706	unassigned-0000616	HG00706_chrY_random0000616	0	auto	158	match	2301
HG00706	HG00706	unassigned-0000617	HG00706_chrY_random0000617	0	auto	159	match	2154
HG00706	HG00706	unassigned-0000619	HG00706_chrY_random0000619	0	auto	160	match	2649
HG00706	HG00706	unassigned-0000655	HG00706_chrY_random0000655	0	auto	161	match	200
HG00706	HG00706	unassigned-0000656	HG00706_chrY_random0000656	0	auto	162	match	1248
HG00706	HG00706	unassigned-0000657	HG00706_chrY_random0000657	0	auto	163	match	2853
HG00706	HG00706	unassigned-0000930	HG00706_chrY_random0000930	0	auto	164	match	2756
HG00706	HG00706	unassigned-0000961	HG00706_chrY_random0000961	0	auto	165	match	3643
HG00706	HG00706	unassigned-0001016	HG00706_chrY_random0001016	0	auto	166	match	853
HG00706	HG00706	unassigned-0001023	HG00706_chrY_random0001023	0	auto	167	match	2768
HG00738	HG00738	chrY_pat-0000564	HG00738_chrY	1	auto	168	match	3281
HG00738	HG00738	pat-0000713	HG00738_chrY_random0000713	0	auto	169	match	317
HG01074	HG01074	chrY_haplotype1-0000019	HG01074_chrY	1	auto	170	match	1695
HG01099	HG01099	chrY_haplotype1-0000025	HG01099_chrY	1	auto	171	match	2323
HG01099	HG01099	haplotype1-0000013	HG01099_chrY_random0000013	0	auto	172	match	2604
HG01099	HG01099	haplotype2-0000107	HG01099_chrY_random0000107	0	auto	173	match	3256
HG01099	HG01099	haplotype2-0000113	HG01099_chrY_random0000113	0	auto	174	match	566
HG01106	HG01106	chrX_mat-0000007	HG01106_chrY	1	auto	175	no-match	-1
HG01106	HG01106	chrY_pat-0000759	HG01106_chrY	1	auto	176	match	2186
HG01106	HG01106	mat-0000007	HG01106_chrY_random0000007	0	auto	177	no-match	-1
HG01106	HG01106	pat-0000797	HG01106_chrY_random0000797	0	auto	178	match	2886
HG01106	HG01106	pat-0000799	HG01106_chrY_random0000799	0	auto	179	match	3399
HG01109	HG01109	chrY_pat-0000969	HG01109_chrY	1	auto	180	match	133
HG01109	HG01109	chrY_pat-0000951	HG01109_chrY	1	auto	181	match	229
HG01109	HG01109	unassigned-0000932	HG01109_chrY_random0000932	0	auto	182	no-match	-1
HG01109	HG01109	pat-0000975	HG01109_chrY_random0000975	0	auto	183	match	2758
HG01109	HG01109	pat-0000976	HG01109_chrY_random0000976	0	auto	184	match	3743
HG01109	HG01109	pat-0000977	HG01109_chrY_random0000977	0	auto	185	match	1218
HG01109	HG01109	pat-0001326	HG01109_chrY_random0001326	0	auto	186	match	3134
HG01192	HG01192	haplotype1-0000014	HG01192_chrY_random0000014	0	auto	189	no-match	-1
HG01192	HG01192	haplotype1-0000015	HG01192_chrY_random0000015	0	auto	190	no-match	-1
HG01192	HG01192	haplotype1-0000016	HG01192_chrY_random0000016	0	auto	191	no-match	-1
HG01192	HG01192	haplotype1-0000017	HG01192_chrY_random0000017	0	auto	192	no-match	-1
HG01192	HG01192	haplotype1-0000018	HG01192_chrY_random0000018	0	auto	193	no-match	-1
HG01192	HG01192	haplotype1-0000019	HG01192_chrY_random0000019	0	auto	194	no-match	-1
HG01243	HG01243	chrY_haplotype1-0000012	HG01243_chrY	1	auto	195	match	2472
HG01243	HG01243	chrY_haplotype1-0000021	HG01243_chrY	1	auto	196	match	578
